#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AAED1	ABCA6	9606.ENSP00000364382	9606.ENSP00000284425	0	0	0	0	0.062	0	0	0.392	0.405
AAED1	MSRA	9606.ENSP00000364382	9606.ENSP00000313921	0	0	0	0	0	0	0	0.641	0.641
AARS	GDAP1	9606.ENSP00000261772	9606.ENSP00000220822	0	0	0	0	0.063	0	0	0.524	0.534
AARS	TUFM	9606.ENSP00000261772	9606.ENSP00000322439	0	0	0.333	0	0.159	0	0	0.329	0.591
ACAD9	NDUFA9	9606.ENSP00000312618	9606.ENSP00000266544	0	0	0	0	0.075	0.117	0.600	0.395	0.776
ACAD9	NDUFB9	9606.ENSP00000312618	9606.ENSP00000276689	0	0	0	0	0.079	0	0.600	0.335	0.733
ACAD9	FLAD1	9606.ENSP00000312618	9606.ENSP00000292180	0	0	0	0	0.164	0.117	0	0.253	0.401
ACAD9	ICT1	9606.ENSP00000312618	9606.ENSP00000301585	0.044	0	0	0	0	0.458	0	0.123	0.506
ACAD9	ECI2	9606.ENSP00000312618	9606.ENSP00000369461	0.189	0	0	0	0.145	0.304	0	0.138	0.528
ACAD9	MRPL1	9606.ENSP00000312618	9606.ENSP00000315017	0	0	0	0	0.085	0.606	0	0	0.624
ACKR4	ITGAE	9606.ENSP00000249887	9606.ENSP00000263087	0	0	0	0	0	0	0	0.402	0.402
ACSS3	ALDH3A2	9606.ENSP00000449535	9606.ENSP00000345774	0.044	0	0	0	0.129	0.065	0.900	0.261	0.932
ACTR1A	BICD1	9606.ENSP00000358921	9606.ENSP00000281474	0	0	0	0	0	0	0.600	0.167	0.652
ACTR1A	PITX2	9606.ENSP00000358921	9606.ENSP00000304169	0	0	0	0	0	0.062	0	0.398	0.411
ACTR1A	PCM1	9606.ENSP00000358921	9606.ENSP00000327077	0	0	0	0	0.052	0	0	0.573	0.577
ACTR1A	BMPR1B	9606.ENSP00000358921	9606.ENSP00000401907	0	0	0	0	0.053	0.078	0	0.555	0.578
