gene1,gene2,score
ARF5,SPTB,0.623
ARF5,ACAP1,0.765
ARF5,COPZ2,0.731
ARF5,PARP1,0.543
ARF5,RAB11FIP1,0.499
ARF5,SPTAN1,0.612
ARF5,CALM1,0.41
ARF5,PPP1CC,0.474
ARF5,AP1M1,0.432
ARF5,PLD2,0.501
ARF5,NSMCE4A,0.45
ARF5,LAMP1,0.48
ARF5,GCC1,0.632
ARF5,CYTH1,0.619
USP28,SENP1,0.424
ARF5,SND1,0.586
USP28,OTUD6B,0.627
USP28,USP11,0.668
USP28,PLK4,0.486
USP28,UBC,0.98
USP28,USP39,0.549
USP28,USP5,0.79
USP28,ZC3H4,0.431
USP28,BRCC3,0.53
USP28,UCK1,0.482
USP28,UCHL5,0.657
USP28,USP37,0.648
USP28,OTUB2,0.629
USP28,PLK1,0.415
USP28,LMO7,0.508
USP28,USP1,0.676
USP28,ZMAT3,0.455
CX3CL1,CCL20,0.662
CX3CL1,NGF,0.49
CX3CL1,PF4,0.503
CX3CL1,CXCL5,0.646
CX3CL1,PTGS2,0.416
CX3CL1,CCL11,0.709
CX3CL1,CXCL1,0.747
CX3CL1,STAT3,0.519
USP28,KLHL34,0.536
CX3CL1,CXCL16,0.616
CX3CL1,ITGB2,0.464
CX3CL1,TWIST1,0.419
CX3CL1,CMTM1,0.434
CX3CL1,CSF3,0.62
CX3CL1,P2RX4,0.496
CX3CL1,MFGE8,0.476
CX3CL1,CCL2,0.837
TRAPPC6A,SEC22C,0.622
TRAPPC6A,HEXDC,0.498
TRAPPC6A,TRAPPC6B,0.891
CX3CL1,CD163,0.4
CX3CL1,IL6,0.718
TRAPPC6A,ORC2,0.443
TRAPPC6A,CYTH1,0.455
CX3CL1,CCR10,0.679
SPATA20,HAUS4,0.454
TRAPPC6A,TRAPPC9,0.995
TRAPPC6A,SEC16A,0.409
TRAPPC6A,CNIH2,0.607
SPATA20,SPATA22,0.529
SPATA20,SPATA25,0.71
TRAPPC6A,CTSC,0.608
SPATA20,EHD3,0.437
TRAPPC6A,TGFA,0.6
SPATA20,ARHGEF17,0.543
SPATA20,PKDCC,0.426
SPATA20,CSNK1D,0.674
UBR7,NEMP1,0.434
UBR7,HIST1H3J,0.726
UBR7,CCDC150,0.467
UBR7,UBALD2,0.475
UBR7,GMNN,0.444
UBR7,CHAF1B,0.401
INMT,HTR7,0.672
UBR7,CEP85,0.407
INMT,FAM212B,0.455
INMT,CFAP57,0.474
INMT,TFAP2A,0.662
UBR7,C17orf53,0.467
UBR7,DNAJC9,0.633
CHPF2,CRTAP,0.475
RTFDC1,SMU1,0.752
RTFDC1,PPP1R3D,0.471
INMT,FAM167B,0.4
CHPF2,CHPF,0.684
CHPF2,GLCE,0.431
CHPF2,XYLT1,0.633
CHPF2,CHST12,0.482
CHPF2,PYROXD2,0.41
GRN,PCED1A,0.556
GRN,CTSF,0.61
GRN,IL6,0.522
GRN,CTSA,0.65
GRN,NLK,0.634
GRN,TYRO3,0.468
GRN,ITGA2B,0.577
GRN,VOPP1,0.65
GRN,TFEB,0.555
GRN,PML,0.545
GRN,FLNA,0.452
GRN,LAMP1,0.496
GRN,ECM1,0.532
GRN,CPEB1,0.552
GRN,ELANE,0.61
GRN,OPTN,0.506
GRN,SLC25A15,0.569
GRN,NAGLU,0.697
GRN,TPM3,0.695
GRN,RRM1,0.424
GRN,CST3,0.448
GRN,ANG,0.402
GRN,EEF1A1,0.406
GRN,HOXB6,0.607
RFC2,TOP2A,0.417
GRN,PRDX4,0.43
GRN,GBA,0.723
GRN,CLN5,0.457
GRN,MDK,0.678
RFC2,GTF2H5,0.645
RFC2,SMC2,0.599
RFC2,ORC1,0.429
RFC2,BRCA1,0.852
RFC2,EFHC2,0.614
RFC2,RAD9A,0.989
RFC2,RAD51,0.822
RFC2,FANCC,0.928
RFC2,RFC3,0.999
RFC2,DSCC1,0.996
RFC2,RAD51C,0.933
RFC2,SMC1A,0.687
RFC2,STX1A,0.416
RFC2,DUT,0.891
RFC2,RAD51AP1,0.931
RFC2,RFC4,0.999
RFC2,ORC6,0.555
RFC2,FANCB,0.912
RFC2,BUB1,0.417
RFC2,POLA1,0.895
RFC2,NCAPD3,0.423
RFC2,UBA7,0.903
RFC2,TIPIN,0.976
RFC2,NUP43,0.693
RFC2,GEN1,0.591
RFC2,RHNO1,0.786
RFC2,GINS4,0.555
RFC2,BRIP1,0.685
RFC2,PRKDC,0.471
RFC2,GINS3,0.4
RFC2,CDC6,0.978
RFC2,TOPBP1,0.98
RFC2,MCM10,0.569
RFC2,MAD2L1,0.577
RFC2,FANCI,0.927
RFC2,GINS2,0.531
RFC2,MRPL35,0.497
RFC2,RAD18,0.844
RFC2,POLE2,0.822
RFC2,XRCC3,0.956
RFC2,RFC5,0.999
RFC2,CDT1,0.459
RFC2,ASF1B,0.412
RFC2,MRE11,0.729
RFC2,ORC5,0.725
RFC2,PARP2,0.737
RFC2,GTF2H2,0.635
RFC2,RECQL4,0.487
RFC2,MCM8,0.456
RFC2,RMI2,0.625
RFC2,LIG1,0.879
RFC2,UBE2L6,0.62
RFC2,POLA2,0.953
RFC2,DTYMK,0.426
RFC2,RAD54L,0.426
RFC2,DDX11,0.491
RFC2,POLE3,0.745
RFC2,CDK2,0.454
RFC2,DTL,0.725
RFC2,TIMELESS,0.948
RFC2,HELLS,0.458
RFC2,PCNA,0.999
RFC2,RMI1,0.666
RFC2,EXO1,0.852
RFC2,XPA,0.723
RFC2,UBE2T,0.917
RFC2,PCLAF,0.916
RFC2,ESCO2,0.666
RFC2,MCM4,0.896
RFC2,LIG3,0.938
RFC2,FANCE,0.93
RFC2,H2AFX,0.475
RFC2,POLD4,0.639
RFC2,FANCM,0.402
RFC2,GINS1,0.539
RFC2,WDHD1,0.651
RFC2,RNASEH2A,0.795
RFC2,FEN1,0.922
RFC2,CHEK1,0.971
RFC2,FANCD2,0.947
RFC2,RPA2,0.975
RFC2,PARP1,0.741
RFC2,MCM5,0.962
RFC2,POLD3,0.878
RFC2,USP1,0.731
RFC2,RRM1,0.707
RFC2,HUS1,0.991
RFC2,CDC7,0.552
RFC2,XRCC2,0.904
RFC2,MCM3,0.893
RFC2,FANCA,0.931
RFC2,MCM2,0.983
RFC2,DNA2,0.772
RFC2,CDK1,0.782
RFC2,CDC45,0.655
RFC2,BLM,0.83
RFC2,RPA1,0.991
RFC2,UBC,0.615
RFC2,MCM7,0.99
RFC2,BARD1,0.698
RFC2,PRIM1,0.973
RFC2,BUB3,0.685
RFC2,RAD52,0.763
RFC2,RAD51B,0.926
RFC2,RAD21,0.49
RFC2,BRCA2,0.927
RFC2,NCAPH,0.402
RFC2,MSH2,0.774
PPP1R3F,GYS1,0.666
RFC2,POLD1,0.925
PPP1R3F,PPP2R2B,0.695
RFC2,RBBP8,0.726
PPP1R3F,CYCS,0.553
PPP1R3F,TOX4,0.54
PPP1R3F,PHKA2,0.606
RFC2,NCAPD2,0.493
PPP1R3F,PPP2R2A,0.586
PPP1R3F,TSPYL2,0.617
PPP1R3F,WDR82,0.54
PPP1R3F,PPP1R3D,0.837
PPP1R3F,WDR5,0.412
NNAT,NHLRC1,0.594
NNAT,RTL1,0.525
RFC2,FANCG,0.931
PPP1R3F,GTF2H5,0.492
NNAT,GNAS,0.514
PPP1R3F,ACBD5,0.419
PPP1R3F,PPP1CC,0.905
PPP1R3F,PPP2R5D,0.552
NNAT,CDH15,0.446
NNAT,PHLDA2,0.56
NNAT,SLC22A18,0.428
NNAT,SNRPN,0.658
ADCK2,PDSS2,0.417
ADCK2,GSTK1,0.405
ADCK2,MYBL1,0.408
ADCK2,COQ9,0.583
NNAT,EPM2A,0.464
NNAT,PEG10,0.717
ADCK2,PGAP3,0.477
ADCK2,COQ2,0.626
CA11,ABHD1,0.508
ADCK2,EID2B,0.445
ADCK2,COQ8B,0.615
ADCK2,DGKI,0.428
CA11,NTN5,0.42
CA11,NRXN2,0.488
LMCD1,TNS1,0.727
LMCD1,TMCC2,0.559
LMCD1,E2F1,0.428
LMCD1,LTA4H,0.482
LMCD1,TBC1D10C,0.407
LMCD1,VANGL1,0.412
ACAP1,LAMP1,0.502
LMCD1,ZNF280C,0.446
ACAP1,RNF214,0.649
ACAP1,ARHGAP4,0.412
ACAP1,SLC2A4,0.979
ACAP1,TBC1D10C,0.428
ACAP1,RBSN,0.443
ACAP1,ATG4A,0.605
ACAP1,AGFG2,0.579
KIF22,KIF4A,0.928
ACAP1,MAP4K1,0.465
ACAP1,RCCD1,0.469
ACAP1,MICALL1,0.431
KIF22,KIF18B,0.817
KIF22,MPDZ,0.515
KIF22,RNASEH2A,0.405
ACAP1,PLD2,0.92
KIF22,CKS1B,0.406
KIF22,KIF15,0.672
KIF22,KLC4,0.553
KIF22,SPAG5,0.816
KIF22,KIFC1,0.797
KIF22,KIF2C,0.873
KIF22,CENPU,0.456
KIF22,LBR,0.469
KIF22,MIS18BP1,0.465
KIF22,UHRF1,0.527
KIF22,PLK1,0.785
KIF22,CCNB1,0.847
KIF22,FOXM1,0.419
KIF22,CCNF,0.458
KIF22,MAPRE2,0.491
KIF22,CDCA5,0.794
KIF22,RAD54L,0.431
ACAP1,ACADVL,0.453
KIF22,FEN1,0.411
KIF22,MCM5,0.846
KIF22,SHCBP1,0.698
KIF22,KIF11,0.871
KIF22,ANLN,0.428
KIF22,GTSE1,0.627
KIF22,CDC20,0.914
KIF22,SPC24,0.586
KIF22,AURKB,0.903
KIF22,MKI67,0.554
KIF22,KIF20A,0.896
KIF22,KNTC1,0.727
KIF22,BIRC5,0.757
KIF22,DCTN1,0.684
KIF22,PAGR1,0.637
KIF22,PCLAF,0.472
KIF22,MCM4,0.424
KIF22,MCM3,0.616
KIF22,CKAP2L,0.663
KIF22,CKAP2,0.633
KIF22,KIF12,0.539
KIF22,UBE2C,0.849
KIF22,MCM7,0.528
KIF22,KIF14,0.459
KIF22,CDCA8,0.895
KIF22,CENPN,0.575
KIF22,CDK1,0.802
KIF22,RCC1,0.54
KIF22,CDCA2,0.657
KIF22,NUF2,0.731
KIF22,PRC1,0.93
KIF22,TPX2,0.915
KIF22,NCAPH,0.887
KIF22,TUBG1,0.464
KIF22,CDC45,0.407
KIF22,MCM2,0.738
KIF22,TTK,0.566
KIF22,ASPM,0.76
KIF22,CLIP3,0.42
KIF22,PTTG1,0.501
KIF22,YPEL3,0.604
KIF22,CCNA1,0.564
KIF22,BUB3,0.479
KIF22,MELK,0.627
KIF22,CENPA,0.449
KIF22,NCAPD2,0.525
KIF22,DLGAP5,0.517
KIF22,FAM64A,0.532
KIF22,CHAF1A,0.532
KIF22,CHAF1B,0.407
KIF22,MAZ,0.767
KIF22,PBK,0.772
KIF22,TOP2A,0.768
KIF22,KIF20B,0.711
KIF22,NUSAP1,0.674
KIF22,CCNA2,0.864
KIF22,DEPDC1,0.518
KIF22,KLC3,0.631
KIF22,SMC2,0.514
KIF22,CKS2,0.524
KIF22,CDC6,0.475
KIF22,CENPT,0.676
KIF22,FAM83D,0.668
KIF22,NCAPG2,0.406
KIF22,MAD2L1,0.723
KIF22,INCENP,0.705
KIF22,BUB1,0.766
KIF22,PARPBP,0.445
KIF22,ESPL1,0.606
KIF22,CKAP5,0.74
KIF22,SGO1,0.704
KIF22,TROAP,0.725
KIF22,RFC4,0.447
KIF22,CCNB2,0.704
KIF22,AURKA,0.898
KIF22,RAD51AP1,0.483
KIF22,ECT2,0.654
KIF22,CDC25C,0.576
KIF22,CENPE,0.787
KIF22,CENPF,0.614
KIF22,MAPRE1,0.503
KIF22,BUB1B,0.808
KIF22,CEP55,0.549
KIF22,ARHGAP11A,0.44
KIF22,ASF1B,0.796
KIF22,CDCA3,0.856
KIF22,TCF19,0.456
KIF22,SKA3,0.53
KIF22,KIF23,0.698
KIF22,TACC3,0.555
KIF22,CENPK,0.536
KIF22,NDC80,0.833
KIF22,HIRIP3,0.691
KIF22,SPC25,0.433
KIF22,CENPP,0.594
KIF22,HMMR,0.568
KIF22,ZWINT,0.434
KIF22,ZWILCH,0.47
KIF22,SGO2,0.456
KIF22,KNSTRN,0.588
KIF22,SEZ6L2,0.767
KIF22,CENPH,0.549
KIF22,NCAPG,0.824
KIF22,NEK2,0.739
KIF22,KCTD13,0.654
KIF22,HAUS5,0.468
KIF22,GINS2,0.495
FOXJ2,RFX1,0.422
KIF22,POLA2,0.451
KIF22,RRM2,0.488
KIF22,RACGAP1,0.868
FOXJ2,POU3F2,0.554
KIF22,CENPI,0.609
KIF22,NCAPD3,0.407
FOXJ2,ZNF326,0.464
PYGM,GYS1,0.91
PYGM,RASGRP2,0.409
PYGM,GAA,0.469
PYGM,MEN1,0.721
PYGM,PHKA2,0.721
PYGM,ENO4,0.609
PYGM,ALDOC,0.552
PYGM,PGM5,0.726
PYGM,PGM1,0.979
KIF22,CDT1,0.56
PYGM,CCNF,0.413
PYGM,CALM1,0.73
PYGM,PYGL,0.931
PYGM,ENPP1,0.929
PYGM,AMY2B,0.819
PYGM,TNNT3,0.446
PYGM,CCNA1,0.566
PYGM,GYG2,0.791
PYGM,GPT2,0.424
PYGM,MOGS,0.519
PYGM,GRHPR,0.406
PYGM,CCNA2,0.566
PYGM,PYGB,0.931
PYGM,TREH,0.462
PYGM,TNNC2,0.475
PYGM,PHKG1,0.966
PYGM,FTH1,0.768
TRIP13,SGO2,0.421
TRIP13,GINS2,0.891
TRIP13,LRR1,0.418
TRIP13,ERCC6L,0.416
TRIP13,POLE2,0.733
TRIP13,ADARB1,0.48
TRIP13,ORC5,0.828
TRIP13,NEK2,0.788
TRIP13,LIG1,0.498
TRIP13,PCNA,0.553
PYGM,FBP1,0.445
TRIP13,RRM2,0.856
TRIP13,RACGAP1,0.723
TRIP13,FBXO5,0.504
TRIP13,DTL,0.815
TRIP13,CENPI,0.542
TRIP13,HELLS,0.533
TRIP13,NCAPG,0.891
TRIP13,ZWILCH,0.729
TRIP13,HMMR,0.836
TRIP13,ZWINT,0.8
TRIP13,PKMYT1,0.448
TRIP13,STIL,0.724
TRIP13,CDKN3,0.785
TRIP13,TYMS,0.74
TRIP13,TEX30,0.467
TRIP13,PRKDC,0.542
TRIP13,CENPH,0.562
TRIP13,INCENP,0.404
TRIP13,CENPF,0.844
TRIP13,CDC6,0.707
TRIP13,DEPDC1,0.6
TRIP13,FAM83D,0.584
TRIP13,SKA3,0.487
TRIP13,CDCA3,0.516
TRIP13,ASF1B,0.625
TRIP13,TSEN2,0.869
TRIP13,TK1,0.492
TRIP13,RFC5,0.485
TRIP13,SPC25,0.488
TRIP13,CDT1,0.659
TRIP13,TACC3,0.549
TRIP13,CENPP,0.493
TRIP13,CCNA2,0.932
TRIP13,ARSA,0.481
TRIP13,KIF23,0.787
TRIP13,CENPE,0.702
TRIP13,CCNE1,0.406
TRIP13,CDC25C,0.607
TRIP13,KPNA2,0.493
TRIP13,CEP55,0.872
TRIP13,ARHGAP11A,0.773
TRIP13,RFC4,0.869
TRIP13,MCM10,0.807
TRIP13,NDC80,0.828
TRIP13,VRK1,0.851
TRIP13,SMC2,0.53
TRIP13,ORC1,0.694
TRIP13,UBXN8,0.457
TRIP13,FANCI,0.758
TRIP13,CCNB2,0.892
TRIP13,DMC1,0.8
TRIP13,NUSAP1,0.863
TRIP13,SGO1,0.633
TRIP13,RAD51,0.897
TRIP13,TROAP,0.636
TRIP13,RAD51C,0.722
TRIP13,DBF4,0.413
TRIP13,PLK4,0.741
TRIP13,BUB1,0.878
TRIP13,ESPL1,0.642
TRIP13,DSCC1,0.659
TRIP13,CKS2,0.602
TRIP13,PARK2,0.588
TRIP13,MAD2L1,0.998
TRIP13,KNL1,0.46
TRIP13,AURKA,0.895
TRIP13,BUB1B,0.953
TRIP13,ECT2,0.646
TRIP13,CDCA7,0.41
TRIP13,RAD51AP1,0.772
TRIP13,NCAPG2,0.72
TRIP13,MCM2,0.842
TRIP13,CDC45,0.828
TRIP13,TTK,0.866
TRIP13,PSMC3IP,0.622
TRIP13,RAD51B,0.452
TRIP13,PBK,0.868
TRIP13,TOP2A,0.863
TRIP13,BRCA1,0.409
TRIP13,ARHGAP11B,0.548
TRIP13,KIF20B,0.443
TRIP13,DLGAP5,0.861
TRIP13,FAM64A,0.606
TRIP13,TDRD1,0.487
TRIP13,MELK,0.879
TRIP13,UNC119,0.422
TRIP13,RFC3,0.789
TRIP13,MSH2,0.602
TRIP13,MYBL2,0.634
TRIP13,CENPN,0.735
TRIP13,NUF2,0.664
TRIP13,CHAF1A,0.545
TRIP13,NCAPH,0.711
TRIP13,HJURP,0.849
TRIP13,CDCA2,0.561
TRIP13,TPX2,0.878
TRIP13,CENPA,0.818
TRIP13,CDCA8,0.879
TRIP13,MND1,0.799
TRIP13,CDC7,0.742
TRIP13,PTTG1,0.835
TRIP13,CDK1,0.971
TRIP13,CCNA1,0.586
TRIP13,HYLS1,0.467
TRIP13,TLDC1,0.489
TRIP13,BUB3,0.798
TRIP13,RAD54B,0.624
TRIP13,PRIM1,0.533
TRIP13,MCM3,0.698
TRIP13,KIF14,0.868
TRIP13,MCM7,0.698
TRIP13,PCLAF,0.77
TRIP13,CKAP2L,0.401
TRIP13,CKAP2,0.49
TRIP13,MCM4,0.839
TRIP13,TICRR,0.43
TRIP13,UBE2C,0.885
TRIP13,ASPM,0.857
TRIP13,KIF20A,0.899
TRIP13,UBE2S,0.419
TRIP13,PLK2,0.438
TRIP13,SPC24,0.421
TRIP13,KIF11,0.908
TRIP13,BIRC5,0.812
TRIP13,OIP5,0.848
TRIP13,WDHD1,0.412
TRIP13,MKI67,0.677
TRIP13,KNTC1,0.558
TRIP13,HUS1,0.474
TRIP13,STAG3,0.443
TRIP13,AURKB,0.92
TRIP13,PRC1,0.853
TRIP13,MCM5,0.651
TRIP13,CDC20,0.998
TRIP13,CHEK1,0.79
TRIP13,DNAJC9,0.403
TRIP13,CENPM,0.759
TRIP13,SHCBP1,0.626
TRIP13,POLQ,0.687
TRIP13,ATAD2,0.675
TRIP13,ANLN,0.861
TRIP13,CIT,0.414
TRIP13,GTSE1,0.58
TRIP13,PLK1,0.86
TRIP13,WDYHV1,0.488
TRIP13,CDCA5,0.724
TRIP13,SELENBP1,0.467
TRIP13,RAD54L,0.806
TRIP13,LOXL4,0.457
TRIP13,FEN1,0.758
TRIP13,KIFC1,0.49
TRIP13,FOXM1,0.848
TRIP13,LDHD,0.479
TRIP13,CCNB1,0.892
TRIP13,CDK2,0.41
TRIP13,GINS1,0.639
TRIP13,UHRF1,0.518
TRIP13,RNASEH2A,0.612
TRIP13,EME1,0.489
TRIP13,CKS1B,0.644
TRIP13,PPP2R3C,0.455
TRIP13,MSH5,0.791
TRIP13,CCNF,0.484
TRIP13,KIF2C,0.837
TRIP13,EXO1,0.868
TRIP13,KIF15,0.722
TRIP13,CENPU,0.722
TRIP13,KIF4A,0.867
TRIP13,SPAG5,0.697
TRIP13,UBE2T,0.447
ST6GAL1,MUC16,0.919
ST6GAL1,ST3GAL5,0.926
ST6GAL1,FUT1,0.568
ST6GAL1,HLA-C,0.579
ST6GAL1,NEU3,0.533
TIMM21,CTDP1,0.544
TIMM21,COQ2,0.602
TIMM21,DNAJC15,0.824
TIMM21,MT-CO1,0.401
TIMM21,FOXRED2,0.584
ST6GAL1,LGALS3,0.43
TIMM21,CHCHD4,0.799
TIMM21,TOMM5,0.604
TIMM21,OXA1L,0.73
TNS1,TMEM169,0.471
TIMM21,TOMM40L,0.663
TIMM21,PRELID1,0.434
TNS1,MET,0.462
TIMM21,DHFR,0.448
TIMM21,TCEA3,0.608
TIMM21,LDHD,0.6
TNS1,PDPK2P,0.544
TIMM21,TMEM38A,0.507
TNS1,PDCD4,0.493
TNS1,BCAR1,0.981
TNS1,ZYX,0.95
TNS1,TSC2,0.602
TNS1,TCHP,0.428
TNS1,STAT3,0.403
TNS1,ERBB3,0.484
TNS1,GSTCD,0.532
CA12,PHYHIP,0.442
TNS1,IGF1R,0.607
TNS1,CLASP2,0.428
CA12,SLC4A8,0.413
TNS1,ITGA1,0.911
TNS1,LDB3,0.473
CA12,SCAMP5,0.403
CA12,EPAS1,0.402
CA12,ACAN,0.47
CA12,ATP6V1F,0.541
MTMR7,BEAN1,0.48
CA12,KRT18,0.435
MTMR7,PIK3C3,0.836
MTMR7,PIP4K2A,0.689
MTMR7,MICALL1,0.542
TMEM38A,TMTC3,0.516
TMEM38A,TMEM154,0.505
TMEM38A,TNNC2,0.751
MTMR7,PLCXD2,0.559
MTMR7,PI4K2B,0.683
MTMR7,HSDL1,0.467
TMEM38A,ZSCAN16,0.612
TMEM38A,LDB3,0.512
TMEM38A,PTN,0.412
TMEM38A,TMEM209,0.432
TMEM38A,TCEA3,0.615
TMEM38A,MYH1,0.401
TMEM38A,ZADH2,0.402
UHRF1BP1,FANCE,0.584
TMEM38A,NEMP1,0.474
UHRF1BP1,TNIP1,0.529
PLOD1,ZMPSTE24,0.689
PLOD1,COL8A1,0.679
PLOD1,PRDM6,0.65
PLOD1,COL4A3,0.618
PLOD1,CRTAP,0.829
UHRF1BP1,USP11,0.427
UHRF1BP1,BANK1,0.465
UHRF1BP1,JAZF1,0.517
PLOD1,SUV39H2,0.66
PLOD1,FKBP10,0.486
PLOD1,EZH2,0.657
PLOD1,ANGPTL4,0.465
PLOD1,PCOLCE,0.504
PLOD1,P4HTM,0.696
PLOD1,P4HA2,0.816
PLOD1,NSD2,0.655
PLOD1,EFEMP2,0.462
OXCT1,PC,0.423
OXCT1,DHRS1,0.429
OXCT1,TMEM9,0.615
PLOD1,TMEM38B,0.452
PLOD1,COL5A3,0.713
PLOD1,COL17A1,0.629
PLOD1,ZNF469,0.625
PLOD1,COL25A1,0.727
PLOD1,SMYD3,0.663
PLOD1,HDLBP,0.508
PLOD1,COL16A1,0.713
PLOD1,NSD3,0.655
PLOD1,BNIP3,0.505
PLOD1,SETD1A,0.655
PLOD1,SUV39H1,0.66
PLOD1,COL5A2,0.901
PLOD1,LOXL4,0.52
OXCT1,CS,0.47
OXCT1,ADK,0.472
OXCT1,ACAA2,0.92
OXCT1,HADHA,0.507
OXCT1,HMGCL,0.971
OXCT1,VMA21,0.613
OXCT1,ALDH6A1,0.605
OXCT1,IDI1,0.408
OXCT1,OARD1,0.484
OXCT1,TMOD3,0.576
ZNF416,PUS7L,0.517
OXCT1,SAR1A,0.432
TFAP2C,BRCA1,0.41
OXCT1,ACSF2,0.434
OXCT1,ACAD10,0.795
ADAM11,SOX8,0.439
ADAM11,ADAMTSL4,0.419
ADAM11,KIF18B,0.688
TFAP2C,GNAS,0.483
ADAM11,NEU3,0.673
ADAM11,CABLES2,0.428
ADAM11,MYL4,0.484
ADAM11,CHRD,0.426
ADAM11,CABLES1,0.442
ADAM11,DBF4B,0.743
ADAM11,HIGD1B,0.758
TFAP2C,NANOS3,0.667
TFAP2C,ATAD2,0.652
TFAP2C,YEATS4,0.68
TFAP2C,ZNF740,0.457
TFAP2C,TSIX,0.43
TFAP2C,DLX3,0.423
TFAP2C,UBE2I,0.951
SULT2B1,HSD17B14,0.452
TFAP2C,TFAP2A,0.549
SULT2B1,TGM1,0.422
SULT2B1,ABCA12,0.492
SULT2B1,FAM174B,0.502
DRC3,ABI2,0.464
SULT2B1,SREBF2,0.579
SULT2B1,CYP1A1,0.923
OTUB2,USP5,0.586
DRC3,ARHGEF39,0.445
OTUB2,IFI27,0.403
OTUB2,UBC,0.985
OTUB2,USP11,0.45
OTUB2,TRAF5,0.413
OTUB2,UCHL5,0.505
OTUB2,USP37,0.464
TFAP4,PATZ1,0.557
OTUB2,BRCC3,0.453
CHRD,TGFBR1,0.515
OTUB2,DPF3,0.515
OTUB2,OTUD6B,0.629
TFAP4,SAC3D1,0.436
TFAP4,CTCF,0.603
CHRD,DLX3,0.418
CHRD,GDF6,0.824
CHRD,GDF7,0.785
TFAP4,TCF3,0.483
TFAP4,GMNN,0.929
CHRD,GMNN,0.461
CHRD,OLFML3,0.447
CHRD,ACVR2A,0.466
CHRD,DAND5,0.428
CHRD,EGR2,0.502
CHRD,BMP3,0.613
CHRD,MSC,0.416
CHRD,ACAN,0.414
CHRD,LAMA4,0.425
CHRD,PAX6,0.436
CHRD,ACVR2B,0.497
CHRD,SMAD1,0.56
CHRD,CHRDL2,0.4
GLG1,CD44,0.58
GLG1,C17orf75,0.502
GLG1,CSNK2B,0.405
GLG1,VTI1A,0.424
AASDH,FASN,0.61
AASDH,OLAH,0.578
AASDH,AADAT,0.707
AASDH,LACTB,0.464
AASDH,ABCA13,0.423
AASDH,HYKK,0.406
AASDH,ASS1,0.472
HAUS4,KNTC1,0.464
AASDH,AARS2,0.49
AASDH,DCT,0.555
AASDH,ACO1,0.428
AASDH,PLA2G6,0.443
MYO15A,COCH,0.446
