GeneName,module_name,kTotal,kWithin,kOut,kDiff,is.hub,ME,MM,Mitocarta,Interactome,in_enriched_module_mitocarta,cor_with_gtex,gtex,in_md_list,pathogenic
SEMA3F,brown,30.54587186,9.132397953,21.4134739,-12.28107595,FALSE,0.477729269,0.374053721,FALSE,FALSE,1,0.176807894,FALSE,FALSE,unlabelled
LAP3,brown,142.3830236,33.36818093,109.0148427,-75.64666177,FALSE,-0.695294296,0.052100404,TRUE,TRUE,1,0.178580245,FALSE,FALSE,unlabelled
SLC25A5,brown,850.9311873,131.1439936,719.7871936,-588.6432,FALSE,-0.875225216,3.60156E-05,TRUE,TRUE,1,0.211124515,FALSE,FALSE,unlabelled
HOXA11,brown,27.46705709,6.850781015,20.61627608,-13.76549506,FALSE,0.317135584,0.77417027,FALSE,FALSE,1,0.158538688,FALSE,FALSE,unlabelled
THSD7A,brown,14.88148924,3.201778079,11.67971117,-8.477933087,FALSE,-0.198327829,0.936239684,FALSE,FALSE,1,0.17005125,FALSE,FALSE,unlabelled
ACSM3,brown,66.86744465,11.83170866,55.03573599,-43.20402733,FALSE,-0.603077019,0.215840537,TRUE,TRUE,1,0.179038794,FALSE,FALSE,unlabelled
GDE1,brown,33.87859297,12.8389384,21.03965458,-8.20071618,FALSE,0.481744322,0.91166065,FALSE,FALSE,1,0.178651862,FALSE,FALSE,unlabelled
TNFRSF12A,brown,803.9536513,120.8710377,683.0826136,-562.2115759,FALSE,-0.83544842,0.013655614,FALSE,FALSE,1,0.185651893,FALSE,FALSE,unlabelled
MAP3K9,brown,13.99663018,2.912493622,11.08413656,-8.171642937,FALSE,-0.310560472,0.199018771,FALSE,FALSE,1,0.143751612,FALSE,FALSE,unlabelled
ALDH3B1,brown,133.7861074,14.76320869,119.0228987,-104.25969,FALSE,0.585736055,0.018319942,FALSE,FALSE,1,0.181264602,FALSE,FALSE,unlabelled
GGCT,brown,86.3857598,13.88853691,72.49722289,-58.60868598,FALSE,-0.625535249,0.005519801,FALSE,FALSE,1,0.200470805,FALSE,FALSE,unlabelled
CDKL3,brown,47.79511905,13.08072869,34.71439036,-21.63366167,FALSE,0.522732943,0.26811462,FALSE,FALSE,1,0.178108485,FALSE,FALSE,unlabelled
