"GeneName","module_name","kTotal","kWithin","kOut","kDiff","is.hub","ME","MM","Mitocarta","Interactome","in_enriched_module_mitocarta","cor_with_gtex","in_MD_genelist","pathogenic"
"LAS1L","cyan",78.7408442656777,6.76768586855217,71.9731583971255,-65.2054725285733,FALSE,-0.797222286988188,0.0139684346947915,FALSE,FALSE,1,0.189000274405127,FALSE,"unlabelled"
"CFLAR","cyan",80.0290952154024,4.04521257496496,75.9838826404374,-71.9386700654725,FALSE,0.719411688698751,0.147178377748532,FALSE,FALSE,1,0.188111156341307,FALSE,"unlabelled"
"MKS1","cyan",76.3070237583638,2.27637215775083,74.030651600613,-71.7542794428621,FALSE,-0.677582232089123,0.131988708129149,FALSE,FALSE,1,0.172947405106891,FALSE,"unlabelled"
"H6PD","cyan",78.1820455336704,5.24921637212129,72.9328291615491,-67.6836127894278,FALSE,0.749817945474344,0.00133484943852646,FALSE,FALSE,1,0.188428325485694,FALSE,"unlabelled"
"TSPAN32","cyan",52.9151027875624,3.45439322971819,49.4607095578442,-46.0063163281261,FALSE,0.672666225454595,0.0524383640826358,FALSE,FALSE,1,0.169435686369975,FALSE,"unlabelled"
"HMG20B","cyan",35.0728497017974,1.79073089986915,33.2821188019283,-31.4913879020591,FALSE,-0.621610063735991,0.252822036772504,FALSE,FALSE,1,0.19549842189926,FALSE,"unlabelled"
"TAF11","cyan",87.3516418865571,3.47439062246963,83.8772512640875,-80.4028606416179,FALSE,-0.677575184655489,0.0058264107723561,FALSE,FALSE,1,0.173313336281638,FALSE,"unlabelled"
"NFYC","cyan",45.0936072783731,2.38468663230625,42.7089206460669,-40.3242340137606,FALSE,-0.653171424548545,0.0419575617028027,FALSE,FALSE,1,0.194281002643622,FALSE,"unlabelled"
"RPS6KA2","cyan",94.6061229883179,6.56632171758517,88.0398012707328,-81.4734795531476,FALSE,0.846208983321313,0.00518232063353925,FALSE,FALSE,1,0.181922255910113,FALSE,"unlabelled"
"XRCC1","cyan",75.9278016788711,5.25507493311156,70.6727267457596,-65.417651812648,FALSE,-0.739792614732749,0.0132020183723763,FALSE,FALSE,1,0.187914513955395,FALSE,"unlabelled"
"ACACB","cyan",65.2499315755249,4.2071606146353,61.0427709608896,-56.8356103462543,FALSE,0.739714659791574,0.00880995644287065,TRUE,TRUE,1,0.18571450203416,FALSE,"unlabelled"
"PMS2P1","cyan",23.5412701114669,1.60241356453436,21.9388565469326,-20.3364429823982,FALSE,-0.52898099370198,0.0691543909772381,FALSE,FALSE,1,0.160185910886943,FALSE,"unlabelled"
"CDC14B","cyan",92.8886463750672,9.20035902095743,83.6882873541098,-74.4879283331524,FALSE,0.848502077328761,0.0238296879227789,FALSE,FALSE,1,0.203604671776374,FALSE,"0"
"ALG6","cyan",48.5184974090605,2.13110979870984,46.3873876103507,-44.2562778116408,FALSE,-0.566155484453471,0.0165120377833075,FALSE,FALSE,1,0.192603413016259,FALSE,"unlabelled"
"MXRA5","cyan",40.2447443541183,2.30234122501769,37.9424031291006,-35.6400619040829,FALSE,0.734108346135169,0.09828978323488,FALSE,FALSE,1,0.163258648346495,FALSE,"unlabelled"
"RGCC","cyan",69.3104840313356,6.30698994340633,63.0034940879293,-56.6965041445229,FALSE,0.832984655886756,0.00892160176901069,FALSE,FALSE,1,0.170644248438908,FALSE,"unlabelled"
"POP4","cyan",54.8002702047053,3.86569579393898,50.9345744107664,-47.0688786168274,FALSE,-0.77534414647547,0.0194344298144726,FALSE,FALSE,1,0.189884761981923,FALSE,"unlabelled"
"EPHB6","cyan",68.0330124998635,4.14889389851195,63.8841186013516,-59.7352247028396,FALSE,0.736090049964085,0.0724275150265909,FALSE,FALSE,1,0.170780841413625,FALSE,"unlabelled"
"HTATIP2","cyan",50.4299481466982,2.74532890722548,47.6846192394727,-44.9392903322472,FALSE,0.293852278865792,0.0376950367045619,TRUE,FALSE,1,0.203240054476432,FALSE,"0"
"COL12A1","cyan",77.3122133035986,5.49572881420571,71.8164844893929,-66.3207556751872,FALSE,0.799356362078852,0.00100955435301926,FALSE,FALSE,1,0.170829407679039,FALSE,"unlabelled"
"SOD2","cyan",64.9792458526495,4.7899026842082,60.1893431684413,-55.3994404842331,FALSE,0.745823174455646,0.176858216119323,TRUE,TRUE,1,0.1785299325367,FALSE,"unlabelled"
"SEMA5A","cyan",27.7331170830837,1.5873205739024,26.1457965091813,-24.5584759352788,FALSE,0.602076066094296,0.120013320747028,FALSE,FALSE,1,0.151203388011429,FALSE,"unlabelled"
"HMGN3","cyan",50.9720206033812,3.21990219799298,47.7521184053882,-44.5322162073953,FALSE,-0.73206537774678,0.0138697191043294,FALSE,FALSE,1,0.205853010778316,FALSE,"0"
"GALNT12","cyan",46.0505290204135,2.61881715987534,43.4317118605381,-40.8128947006628,FALSE,0.611756490972586,0.065571102589348,FALSE,FALSE,1,0.173049708666699,FALSE,"unlabelled"
"SERAC1","cyan",43.6794796935374,2.32038815766903,41.3590915358684,-39.0387033781994,FALSE,0.53365331177506,0.486412173898781,TRUE,FALSE,1,0.193436209070693,TRUE,"1"
"RECK","cyan",71.0061337522554,5.34060059830454,65.6655331539509,-60.3249325556463,FALSE,0.766135201216817,0.00584125753637872,FALSE,FALSE,1,0.192656957130746,FALSE,"unlabelled"
"MMP19","cyan",71.7240238397792,5.58166517896287,66.1423586608164,-60.5606934818535,FALSE,0.799238138306489,0.00135584694006437,FALSE,FALSE,1,0.194387430093623,FALSE,"unlabelled"
"NAGK","cyan",37.6273572449862,3.57493188336955,34.0524253616166,-30.4774934782471,FALSE,-0.694716613561412,0.171278501364271,FALSE,FALSE,1,0.184442453488682,FALSE,"unlabelled"
"GOT2","cyan",96.06531321694,6.42840122688593,89.636911990054,-83.2085107631681,FALSE,-0.733270932160244,0.00580369802778535,TRUE,TRUE,1,0.195516926914184,TRUE,"1"
"GRIA3","cyan",38.3943433696957,1.73507585601105,36.6592675136846,-34.9241916576736,FALSE,0.601116144723319,0.0142206031484677,FALSE,FALSE,1,0.196274136556884,FALSE,"0"
"PSMB2","cyan",102.154167405991,7.75618224289691,94.3979851630938,-86.6418029201969,FALSE,-0.852473492549579,0.00386637384899113,FALSE,FALSE,1,0.174702636771737,FALSE,"unlabelled"
"SNRPA1","cyan",101.587519189652,7.06571183159191,94.5218073580603,-87.4560955264684,FALSE,-0.815954288228554,0.0242222778244454,FALSE,FALSE,1,0.194285062433663,FALSE,"unlabelled"
"ADAMTS8","cyan",73.453989413062,3.79462709483091,69.6593623182311,-65.8647352234002,FALSE,0.713011095309367,0.0782645581504609,FALSE,FALSE,1,0.173882145634268,FALSE,"unlabelled"
"AVIL","cyan",109.456221348654,4.12350184692176,105.332719501732,-101.20921765481,FALSE,0.701904813521426,0.0190409769270794,FALSE,FALSE,1,0.193736472362844,FALSE,"unlabelled"
"TNS3","cyan",37.0872717500966,1.94569232772433,35.1415794223723,-33.195887094648,FALSE,0.584397950803218,0.200417871777346,FALSE,FALSE,1,0.191954128925348,FALSE,"unlabelled"
"MRPL15","cyan",129.140067355354,8.07299538038668,121.067071974967,-112.994076594581,FALSE,-0.866746192842079,0.000117068657547641,TRUE,TRUE,1,0.184208639605322,FALSE,"unlabelled"
"ADAMTS14","cyan",84.5073586182839,3.34306203421311,81.1642965840708,-77.8212345498577,FALSE,0.700584523970802,0.0566006977179695,FALSE,FALSE,1,0.19621479639474,FALSE,"0"
"TARBP2","cyan",66.1785825319593,4.85406724201183,61.3245152899474,-56.4704480479356,FALSE,-0.769884133842755,0.00895894291460222,FALSE,FALSE,1,0.192816896142988,FALSE,"unlabelled"
"NABP2","cyan",75.0178561679832,3.69894699459013,71.3189091733931,-67.6199621788029,FALSE,-0.670346886990098,0.00645913382269739,FALSE,FALSE,1,0.208407406083041,FALSE,"0"
"JDP2","cyan",80.0547812835519,6.08074810846687,73.974033175085,-67.8932850666182,FALSE,0.741640120245076,0.025898489151634,FALSE,FALSE,1,0.177800376794571,FALSE,"unlabelled"
"FBLN5","cyan",69.8730777249441,4.19422579538652,65.6788519295576,-61.484626134171,FALSE,0.615324572438937,0.0266452301893267,FALSE,FALSE,1,0.187275430639402,FALSE,"unlabelled"
"TAMM41","cyan",52.2074012153955,3.118647206215,49.0887540091805,-45.9701068029655,FALSE,-0.642379481774445,0.10743642147855,TRUE,FALSE,1,0.186757659465338,FALSE,"unlabelled"
"MANF","cyan",48.9371473067006,3.40450758800456,45.532639718696,-42.1281321306915,FALSE,-0.736869208062859,0.0250619271040604,FALSE,FALSE,1,0.176754183082466,FALSE,"unlabelled"
"TBC1D7","cyan",116.826036768583,7.64084559990991,109.185191168673,-101.544345568763,FALSE,-0.833641868751354,0.128099638681713,FALSE,FALSE,1,0.192434228110117,FALSE,"unlabelled"
"PSD2","cyan",32.3340366610131,1.53221368587923,30.8018229751339,-29.2696092892547,FALSE,0.586242220878993,0.109320573631497,FALSE,FALSE,1,0.188923281048353,FALSE,"unlabelled"
"SH3KBP1","cyan",50.031741431101,2.6047513845712,47.4269900465298,-44.8222386619586,FALSE,-0.645739411203509,0.0373649094388557,FALSE,FALSE,1,0.207010984840756,FALSE,"0"
"GSTO1","cyan",81.3890464900289,5.25848854499316,76.1305579450358,-70.8720694000426,FALSE,-0.783088243733288,0.145076583809773,FALSE,FALSE,1,0.199101798430886,FALSE,"0"
"MCOLN2","cyan",53.3845137514262,2.14744715405673,51.2370665973695,-49.0896194433128,FALSE,-0.622045582084217,0.051432743284677,FALSE,FALSE,1,0.176003447928398,FALSE,"unlabelled"
"DKK2","cyan",86.2590642085422,7.52942868345802,78.7296355250842,-71.2002068416262,FALSE,0.794312394975924,0.0440795015380295,FALSE,FALSE,1,0.099872118836737,FALSE,"unlabelled"
"RER1","cyan",70.2055571389277,3.66943380437054,66.5361233345571,-62.8666895301866,FALSE,-0.657777825012435,0.159644134420443,FALSE,FALSE,1,0.176224159198499,FALSE,"unlabelled"
"XDH","cyan",56.8723828858082,2.13008939943828,54.74229348637,-52.6122040869317,FALSE,-0.580062697923791,0.0170083108376101,FALSE,FALSE,1,0.171398292856682,FALSE,"unlabelled"
"SLC1A7","cyan",101.771319216856,6.84319342037317,94.9281257964828,-88.0849323761096,FALSE,0.786903017017187,0.00677421289029254,FALSE,FALSE,1,0.150683622548924,FALSE,"unlabelled"
"CCT3","cyan",100.785792633992,8.12292180740667,92.6628708265851,-84.5399490191784,FALSE,-0.828809414312921,0.0352156643375474,FALSE,FALSE,1,0.190062266545984,FALSE,"unlabelled"
"SYTL3","cyan",89.4179978278265,5.95041481950699,83.4675830083195,-77.5171681888125,FALSE,-0.810130326532379,0.015927186144392,FALSE,FALSE,1,0.195691803125417,FALSE,"0"
"HGSNAT","cyan",63.2968861089965,3.46438332482912,59.8325027841674,-56.3681194593382,FALSE,0.662647579181684,0.00733884178887236,FALSE,FALSE,1,0.199005976729988,FALSE,"0"
"SVEP1","cyan",98.7655554631127,7.16629026795818,91.5992651951546,-84.4329749271964,FALSE,0.827831861617482,0.00694194110720318,FALSE,FALSE,1,0.184461974986111,FALSE,"unlabelled"
"BDKRB2","cyan",96.3419839347693,6.80929597515225,89.532687959617,-82.7233919844648,FALSE,0.822920554317605,0.00488178953192856,FALSE,FALSE,1,0.179554032875312,FALSE,"unlabelled"
"PWWP2B","cyan",150.380088909349,7.08040867118578,143.299680238164,-136.219271566978,FALSE,0.799036029657211,0.00240227870933767,FALSE,FALSE,1,0.157829470683374,FALSE,"unlabelled"
"NBEA","cyan",49.2358838822872,2.71630805113223,46.5195758311549,-43.8032677800227,FALSE,0.698511055019109,0.0325540745414917,FALSE,FALSE,1,0.189214588660981,FALSE,"unlabelled"
"LEP","cyan",89.3581319559943,3.45291233829143,85.9052196177029,-82.4523072794114,FALSE,0.663153878342151,0.00475759100839565,FALSE,FALSE,1,0.157258950322328,FALSE,"unlabelled"
"RUVBL1","cyan",143.404833846594,9.61261306670349,133.792220779891,-124.179607713187,FALSE,-0.896204466583768,0.000438219635295575,FALSE,FALSE,1,0.153601849456892,FALSE,"unlabelled"
"HSD11B2","cyan",52.6886545066051,3.09151060547686,49.5971439011282,-46.5056332956514,FALSE,0.589024916829698,0.0179933842541337,FALSE,FALSE,1,0.206147719862329,FALSE,"0"
"MYO1D","cyan",135.974653365929,10.628912759036,125.345740606893,-114.716827847857,FALSE,0.790654905230449,0.0128882249887733,FALSE,FALSE,1,0.164053534867172,FALSE,"unlabelled"
