Id,Gene,canonical
10090.ENSMUSP00000018478,ksr1,Q61097
10090.ENSMUSP00000022977,sqle,P52019
10090.ENSMUSP00000068731,rgs14,P97492
10090.ENSMUSP00000067400,pik3r4,Q8VD65
10090.ENSMUSP00000020312,mcu,Q3UMR5
10090.ENSMUSP00000021649,acot2,Q9QYR9
10090.ENSMUSP00000067882,tbcel,Q8C5W3
10090.ENSMUSP00000023828,rttn,Q8R4Y8
10090.ENSMUSP00000019323,mdh2,P08249
10090.ENSMUSP00000066556,soga1,E1U8D0
10090.ENSMUSP00000126702,dpy30,Q99LT0
10090.ENSMUSP00000029131,ggt7,Q99JP7
10090.ENSMUSP00000030117,smu1,Q3UKJ7
10090.ENSMUSP00000055416,diras2,Q5PR73
10090.ENSMUSP00000030118,dnaja1,P63037
10090.ENSMUSP00000034955,spg21,Q9CQC8
10090.ENSMUSP00000099470,cds2,Q99L43
10090.ENSMUSP00000081712,dnajb5,O89114
10090.ENSMUSP00000033621,gla,P51569
10090.ENSMUSP00000029128,map1lc3a,Q91VR7
10090.ENSMUSP00000078534,erc1,Q99MI1
10090.ENSMUSP00000053235,neurl4,Q5NCX5
10090.ENSMUSP00000028278,psmd14,O35593
10090.ENSMUSP00000065228,gtf2h2,Q9JIB4
10090.ENSMUSP00000020316,tbk1,Q9WUN2
10090.ENSMUSP00000020315,cand1,Q6ZQ38
10090.ENSMUSP00000090651,cntrob,Q8CB62
10090.ENSMUSP00000045603,ptprm,P28828
10090.ENSMUSP00000038075,ccdc92,Q8VDN4
10090.ENSMUSP00000121020,vps29,Q9QZ88
10090.ENSMUSP00000043424,acad11,Q80XL6
10090.ENSMUSP00000102724,plaa,P27612
10090.ENSMUSP00000041241,smg7,Q5RJH6
10090.ENSMUSP00000018002,ift52,Q62559
10090.ENSMUSP00000058919,rpl37a,P61514
10090.ENSMUSP00000010520,nedd8,P29595
10090.ENSMUSP00000051049,bag5,Q8CI32
10090.ENSMUSP00000032309,ybx3,Q9JKB3
10090.ENSMUSP00000029142,eif6,O55135
10090.ENSMUSP00000030128,chmp5,Q9D7S9
10090.ENSMUSP00000066561,ppm1h,Q3UYC0
10090.ENSMUSP00000087485,gng5,Q80SZ7
10090.ENSMUSP00000099461,dstn,Q9R0P5
10090.ENSMUSP00000097282,hk1,P17710
10090.ENSMUSP00000029135,acss2,Q9QXG4
10090.ENSMUSP00000006478,tmem147,Q9CQG6
10090.ENSMUSP00000033634,acsl4,Q9QUJ7
10090.ENSMUSP00000076364,ptpro,E9Q612
10090.ENSMUSP00000030125,bag1,Q60739
10090.ENSMUSP00000114705,dbi,P31786
