gene1,gene2,score
gnai3,prkca,0.712
gnai3,psmc6,0.488
gnai3,rhoc,0.638
gnai3,rras2,0.59
gnai3,gng5,0.787
gnai3,rhoq,0.445
gnai3,mapk10,0.77
gnai3,ampd2,0.7
gnai3,mapk14,0.874
gnai3,gnb5,0.944
gnai3,rgs14,0.974
gnai3,plcg1,0.647
gnai3,arhgef7,0.451
gnai3,rgs6,0.867
gnai3,ric8b,0.842
gnai3,nucb2,0.723
gnai3,gnao1,0.973
gnai3,cdc42,0.803
gnai3,rgs7,0.858
gnai3,plcb3,0.872
gnai3,gna11,0.933
gnai3,fyn,0.551
gnai3,sos1,0.623
gnai3,pik3cb,0.808
gnai3,gnb1,0.996
gnai3,mapk7,0.442
gnai3,arrb2,0.522
gnai3,gnaz,0.954
gnai3,sfpq,0.454
gnai3,map3k7,0.611
gnai3,syne2,0.577
gnai3,chuk,0.577
gnai3,kif21a,0.503
gnai3,pik3ca,0.824
gnai3,adcy1,0.858
gnai3,gnaq,0.928
gnai3,rock2,0.434
gnai3,adcy6,0.946
gnai3,arrb1,0.489
gnai3,rgs12,0.977
gnai3,rap1b,0.496
gnai3,ralbp1,0.645
gnai3,gnb4,0.946
gnai3,kras,0.946
gnai3,rheb,0.43
gnai3,rhob,0.455
gnai3,pik3r4,0.738
gnai3,srgap2,0.659
gnai3,gnai2,0.974
gnai3,mapk8,0.821
gnai3,adcy9,0.895
gnai3,copb1,0.47
gnai3,pxn,0.567
gnai3,rap2c,0.437
gnai3,adcy3,0.861
gnai3,src,0.88
gnai3,akt2,0.579
gnai3,sestd1,0.421
gnai3,pdcl,0.876
gnai3,arhgap35,0.658
gnai3,gab1,0.848
gnai3,tanc1,0.594
gnai3,prkce,0.662
gnai3,gng10,0.843
gnai3,prkar2b,0.564
gnai3,pik3r1,0.82
gnai3,gna13,0.844
cox5a,vdac1,0.455
gnai3,prkci,0.446
gnai3,ubr4,0.428
gnai3,rhoa,0.73
cox5a,ndufs7,0.967
cox5a,sdhb,0.978
cox5a,pmpca,0.634
cox5a,ndufv2,0.993
cox5a,ndufb10,0.993
cox5a,ndufaf1,0.432
cox5a,nmral1,0.694
gnai3,gpsm1,0.985
cox5a,tpi1,0.478
cox5a,ppp1r9b,0.433
cox5a,ndufa2,0.954
cox5a,ndufa13,0.977
cox5a,etfa,0.679
cox5a,ndufa6,0.974
cox5a,ndufa12,0.994
cox5a,mdh2,0.96
cox5a,atp5o,0.953
cox5a,oxa1l,0.587
cox5a,cox7b,0.974
cox5a,surf1,0.838
cox5a,aldoa,0.434
cox5a,mpc2,0.782
cox5a,ndufs3,0.988
cox5a,cope,0.753
cox5a,ndufs8,0.974
cox5a,coa3,0.595
cox5a,atp5j,0.941
cox5a,uqcrfs1,0.999
cox5a,sdhd,0.873
cox5a,coa6,0.96
cox5a,atp5d,0.983
cox5a,cox4i1,0.999
cox5a,slc25a4,0.804
cox5a,cox15,0.951
cox5a,atp5j2,0.954
cox5a,htt,0.452
cox5a,ndufa7,0.957
cox5a,cyc1,0.999
cox5a,slc25a5,0.84
cox5a,mpc1,0.764
cox5a,chchd2,0.773
cox5a,ndufb11,0.897
cox5a,ndufb5,0.974
cox5a,cox6b1,0.999
cox5a,cox5b,0.999
cox5a,dlst,0.742
cox5a,ndufa4,0.995
cox5a,suclg1,0.811
cox5a,slc25a3,0.787
cox5a,pdhb,0.515
cox5a,idh3a,0.685
cox5a,cox6c,0.999
cox5a,atp5b,0.98
cox5a,atpif1,0.444
cox5a,pmpcb,0.95
cox5a,nt5c2,0.468
cox5a,lonp2,0.491
cox5a,cox20,0.664
cox5a,ndufa10,0.992
cox5a,ndufb7,0.961
cox5a,atp6v1f,0.536
cox5a,sumo3,0.472
cox5a,lonp1,0.565
cox5a,ndufb8,0.972
cox5a,cox7a2,0.961
cox5a,ndufb6,0.988
cox5a,tfam,0.557
cox5a,clpp,0.539
cox5a,acad9,0.455
cox5a,sf3b5,0.675
