Gene,Pathogenic
ganab,2
fus,2
kpna3,0
napg,0
trappc11,0
zfyve28,0
rpl32,0
bfar,0
szt2,0
sf3b3,0
ythdf2,0
polr2m,0
snrpe,0
rnf214,0
aaas,0
fitm2,0
rpl22,0
becn1,0
nt5c3b,2
camkk1,0
rock2,0
anapc7,0
ak3,0
sfxn1,0
rgs14,0
snx15,0
nudc,0
pfas,0
abcb6,2
tia1,2
samd14,2
ate1,0
srp14,0
rsph9,2
jph3,0
cdc40,0
edc4,0
stx17,0
acat2,0
elof1,0
cggbp1,0
gpsm1,0
plekhm2,0
clcn7,0
uba5,0
atg13,0
als2,0
fnbp1l,0
synj2bp,0
rbm45,0
ewsr1,0
golga4,0
ralgps2,2
osbpl10,0
vps39,0
cab39,0
arl10,0
appl2,0
ssb,0
snx16,0
anapc2,0
hsdl1,0
etfa,0
s100a6,2
tmco1,0
trmt6,0
plcl2,0
ube2g2,0
ensa,0
map2k2,0
hectd3,0
tpd52,0
arhgef10l,2
ptgr2,0
dhx9,0
slc25a46,0
atic,0
angel2,0
ttc33,0
cdk11b,0
ddx5,0
dnajc10,0
nipsnap1,0
mtus2,0
prkar2a,0
ap3b2,0
cygb,0
pdk3,0
abracl,0
hmbox1,0
gdap1l1,2
tomm34,0
tmem147,0
tagln2,2
ppme1,0
ndufaf2,0
atg12,0
slc9a3r1,0
pak6,0
st13,0
snx8,2
fbxl16,0
ctsd,0
pxn,0
itfg1,0
aarsd1,2
get4,0
dpcd,0
pnpo,0
usp10,0
vim,0
ppil1,0
slc38a1,2
rbm15b,0
reep5,0
st8sia3,0
ccdc6,0
vps33a,0
rab3ip,0
dync1li1,0
cpsf6,0
pdcd11,0
ppm1b,2
inpp5f,0
pak4,0
aldh9a1,0
eif3e,0
nmt1,0
ncdn,2
carm1,2
csnk2b,0
tmem200a,0
psmc2,0
klhl22,0
lmbrd2,0
rpl12,0
trappc10,0
rbbp4,0
exosc5,0
mrpl55,0
mocs2,0
ppib,0
acsl3,0
hp1bp3,0
dcaf8,2
snap47,0
abcf1,0
gnpda1,0
adcy6,0
psma5,0
ppp2r1a,0
cog5,0
pcbp4,0
g6pc3,0
wrnip1,0
ddost,2
nae1,0
sccpdh,0
gsk3a,0
pccb,2
cnot2,0
zdhhc8,0
pld2,0
ykt6,0
sar1b,0
wdr26,0
tmem43,0
paip2,0
uchl1,0
atp8a1,0
psmd14,0
zpr1,0
nomo1,0
gna11,0
polr2i,0
trnt1,0
abhd17a,0
tefm,0
atxn2,0
gorasp2,0
slc16a6,0
dpp3,0
ilvbl,0
lrch3,0
nfu1,0
git2,0
lamp1,0
vps13c,0
strip1,0
ptma,0
dek,0
tmx2,0
acadl,0
ostc,0
exosc1,0
eif2s2,0
ubac1,0
usp9x,0
arl13b,0
marcksl1,0
exoc1,2
fam171a2,0
vps4a,0
chuk,2
synrg,0
ift27,2
ctbs,2
spats2l,2
banf1,0
apba1,0
nudt4,0
psmb3,0
lrsam1,0
snx9,0
fis1,2
vps11,0
cbx5,0
phactr3,0
lima1,2
cops4,0
actr10,0
idh1,0
bet1,0
golga3,0
ythdf3,0
cpt2,2
wdr59,0
nme7,0
gkap1,0
cds2,0
ndufs5,2
mto1,0
eif4g1,0
tomm40,0
pacsin1,0
tbp,0
tmem245,0
lars,0
sdhd,0
wdr35,2
ranbp6,0
dhx32,0
dido1,0
csnk1e,0
thumpd1,0
gss,0
amdhd2,0
fgd6,0
gfpt1,0
crlf3,2
hnrnpl,0
top3b,1
tmem132a,0
p4htm,0
wwc1,0
rab5c,0
arl3,0
acad9,0
bub3,0
stam2,0
ccar1,0
morn4,0
gabarapl1,0
mtpap,0
ggh,2
abhd16a,0
tap1,2
egln1,0
cst3,0
atp6v1g1,0
rfng,0
edc3,0
ctbp2,2
pold1,2
glipr2,2
tpgs1,0
ssbp3,0
pi4ka,0
napb,0
cdk9,0
txndc5,0
usp12,0
arl2,0
tjp1,0
uqcrc1,0
tmem65,0
phpt1,2
coro1c,0
mtss1,0
crnkl1,0
acvr2a,0
dnaja3,0
cmas,0
stk24,0
oxa1l,0
mtmr9,0
mapt,0
ptpro,0
acbd3,0
cad,2
scaf1,0
eri3,0
sdcbp,0
cox20,0
hgsnat,0
pycr1,2
fam76a,0
ubtf,0
prep,0
cib1,2
zfp91,0
aplp1,0
trappc2l,0
fam131b,0
mrps9,0
cntn1,0
cope,0
prpf8,0
adcy9,2
atp1b1,0
crmp1,0
arhgap26,0
atp2a2,0
atp5h,0
emc4,2
elp3,0
apc,1
blmh,0
rragb,0
hnrnpm,0
ap3b1,0
ahctf1,0
golph3l,0
dnttip2,0
slc25a4,0
commd9,0
timm13,0
ndufb7,0
terf2ip,0
rab30,0
luc7l3,0
papss1,0
rbm42,2
cplx1,0
gtdc1,0
ppp1cb,0
bcas2,0
adcy3,2
plec,0
rab6b,0
hcn4,2
vwa8,0
mras,0
agpat3,0
ccnl1,0
cpsf7,0
lmf2,0
lancl2,0
ocrl,1
eif3b,0
rcn1,0
znfx1,0
cyfip2,0
sumf2,0
rbm14,0
prkcsh,0
gtf2h2,2
npc1,0
rcan1,0
lrrc8d,0
slc9a7,2
mta3,0
pdcl,0
ndel1,0
cdc73,0
prpf39,0
smu1,0
lpgat1,0
bphl,0
srr,0
atp13a3,0
scrn2,2
tmem68,0
csde1,0
ago1,2
ociad1,0
zfyve19,0
ttc19,2
pafah1b2,0
grsf1,0
stam,0
matr3,0
tmem87a,0
srpk1,0
nolc1,0
bicd1,2
atox1,0
grip1,1
galns,0
imp3,0
pex6,0
traf6,0
keap1,0
ppm1l,0
hax1,2
ptcd3,0
alkbh8,0
psma7,0
nup85,0
smc4,0
timm50,0
mettl9,0
ptpn23,0
nt5c2,0
naa20,0
cox5b,0
rraga,0
crkl,0
ttc9b,0
ift172,0
rab11fip2,2
cwc15,0
hsd17b12,0
ssr4,0
ahsa2,0
vta1,0
aox1,2
rbbp7,2
eif4a2,0
prps2,0
sec22b,0
mak16,0
dnajc7,0
tor1aip1,0
efnb1,2
arpc1a,0
ncbp1,0
ftsj3,0
micall1,0
dcun1d2,0
phf14,0
mrpl47,0
pcbp3,0
homer2,0
znrf1,0
ints9,0
higd1a,0
ift122,0
hnrnpf,0
sugt1,0
unc119b,0
impact,0
tubb4b,0
lypla1,0
polr2b,0
sympk,0
cstb,0
ddx46,0
pkp4,0
slc4a8,0
phka1,2
exosc7,0
hmox2,0
ankrd28,0
arl6,0
slc30a1,0
rpap3,0
thoc6,2
dlst,0
rdh14,0
ift140,0
wdr41,0
mlec,2
ddx39b,0
tmem165,0
coasy,0
trappc4,0
oxr1,0
eif2b2,0
cuedc2,0
got2,0
asph,0
tmem11,0
phactr1,2
lgals1,2
mms19,0
naa30,0
osbpl1a,0
srp19,0
adcy1,0
amz2,0
tmem50b,0
prrc2a,2
kcnt1,1
sh2d5,0
cttn,0
klhl3,0
casp3,0
cul2,0
gatc,0
ppp2r2a,0
top2a,0
hspa4l,0
copa,0
dnmt1,0
arl8a,0
tle1,0
map2k7,0
tbrg4,0
ssh2,0
scrib,0
ndufa6,0
thumpd3,0
wasf3,0
ube2d1,0
sf3b1,0
slc25a3,0
eef2,0
actr6,0
nsmaf,0
mpdu1,0
sirt5,0
vps52,0
pmpca,0
basp1,0
luzp1,0
ebna1bp2,0
rrm1,0
rhbdd2,0
ptbp2,0
ptn,2
slc35a2,0
sptlc2,0
camkv,0
b2m,0
champ1,0
tex10,0
hdhd2,0
snx4,0
ufsp2,0
capn5,0
fdxr,2
stk38,0
fam89b,2
zbtb7a,0
plcb3,0
prpf40a,0
dnajc5,0
nrp1,0
srsf7,0
anxa4,2
vangl2,0
pde12,0
lamp2,0
pura,0
ube2j1,0
hypk,0
ndufa4,0
erlin2,0
sirt1,0
brd2,0
pik3c3,0
n4bp1,0
rras2,0
uqcrb,0
arfip2,0
ppt2,0
dnajc16,0
wasl,0
prkra,0
rnf126,0
s100a1,0
cct7,2
itsn2,0
rexo2,0
pip4k2b,0
spcs1,0
fundc1,0
aif1l,0
larp4b,0
morf4l2,0
ctif,0
actl6b,0
tubgcp2,0
clptm1l,0
hadh,0
wdr48,0
ubr2,0
gnaq,0
uba1,0
gng10,0
nop58,0
psmd3,0
gatad2a,0
mif,0
taldo1,0
psma1,0
vrk1,0
frmd4a,2
cul4b,0
tomm22,0
eif6,0
