Gene.name,TL_KO_rep1_32234480,TL_KO_rep2_32234480,TL_KO_rep3_32234480,TL_WT_rep1_32234480,TL_WT_rep2_32234480,TL_WT_rep3_32234480,TL_WT_rep4_32234480,TP_WT_rep1_33199649,TP_WT_rep2_33199649,TP_KO_rep1_33199649,TP_KO_rep2_33199649,TL_KO_rep1_29104533,TL_KO_rep2_29104533,TL_KO_rep3_29104533,TL_KO_rep4_29104533,TL_KO_rep5_29104533,TL_KO_rep6_29104533,TL_WT_rep1_29104533,TL_WT_rep2_29104533,TL_WT_rep3_29104533,TL_WT_rep4_29104533,TL_WT_rep5_29104533,TL_WT_rep6_29104533,TL_WT_rep1_28772121,TL_WT_rep2_28772121,TL_WT_rep3_28772121,TL_WT_rep4_28772121,TL_WT_rep5_28772121,TL_WT_rep6_28772121,TL_KO_rep1_28772121,TL_KO_rep2_28772121,TL_KO_rep3_28772121,TL_KO_rep4_28772121,TL_KO_rep5_28772121,TL_KO_rep6_28772121,TP_WT_rep1_32510328,TP_WT_rep2_32510328,TP_WT_rep3_32510328,TP_KO_rep1_32510328,TP_KO_rep2_32510328,TP_KO_rep3_32510328,P_WT_rep1_33931071,P_WT_rep2_33931071,P_WT_rep3_33931071,P_WT_rep4_33931071,P_KO_rep1_33931071,P_KO_rep2_33931071,P_KO_rep3_33931071,P_KO_rep4_33931071,P_WT_rep5_33931071,P_WT_rep6_33931071
Aaas,261,267,185,156,141,332,221,152,77,99,60,731,677,477,417,851,409,861,443,361,537,347,437,468,323,311,116,254,303,328,301,326,293,366,193,122,160,156,121,124,122,0.327956188,0.345608595,0.308826616,0.338002073,0.321883605,0.321231439,0.315788382,0.315187014,0.328356518,0.377410901
Aacs,1500,1240,880,782,616,1400,1018,500,270,769,312,2617,2656,3102,3332,2401,2496,2726,2545,1825,2226,1864,1870,1688,1468,1361,609,840,1118,1486,2029,1647,1756,1448,1201,411,690,828,743,489,659,4,3,4,5,4,4,4,5,3,5
Aagab,584,339,676,863,657,565,399,208,131,439,255,1168,1214,2550,1764,1314,1259,1641,1098,866,1698,943,1297,957,836,615,429,392,639,780,903,848,461,945,1553,190,341,353,411,364,483,0.10890152,0.123755196,0.097469861,0.118668917,0.117452636,0.117159512,0.115339694,0.127512537,0.118586772,0.116704978
Aak1,6739,5076,4471,3493,2518,3924,1413,3017,1483,1031,1128,3801,4156,14246,11603,11754,7605,7385,12709,12442,8198,10375,6460,13270,6236,3942,5146,2053,4825,3416,3452,7690,5896,7401,1559,0,2569,4699,3450,1874,2701,13,16,9,13,13,16,16,13,13,13
Aamdc,94,87,104,381,238,273,320,78,29,219,68,686,779,601,169,180,735,1369,383,336,508,333,239,329,252,281,101,611,67,363,400,277,274,128,281,97,79,255,218,145,6.10E-06,0.221606945,0.209806459,0.342850136,0.256408146,0.22731582,0.212642813,0.206900782,0.213824638,0.236323499,0.229871418
Aars,6678,5270,4914,4431,3802,6327,4975,3179,1293,3030,1678,14249,16616,9911,11683,18347,12662,14474,9879,10665,8684,11451,11174,8999,6838,6528,5525,4868,7681,7771,8582,7042,5575,5713,5959,2286,3509,4210,3055,2624,3171,18,25,17,21,19,25,23,22,18,21
Aarsd1,399,1046,370,362,83,484,134,133,33,418,157,1426,1669,586,78,996,946,2599,513,363,495,828,1752,594,1,346,392,353,0,621,1148,2092,507,0,0,229,439,547,116,107,80,1,2,1,1,2,1,1,1,1,1
Aasdhppt,403,378,333,383,245,378,415,166,120,212,126,1160,1200,711,792,1120,761,1149,674,836,648,616,857,694,446,354,383,389,402,488,539,606,562,492,358,127,267,332,205,185,234,0.069665394,0.065024671,0.05860384,0.068135761,0.064454281,0.069390646,0.066029293,0.0685049,0.072405043,0.066977902
Abca2,1278,1344,1130,1588,1699,2192,1777,860,559,659,547,3847,3272,3954,4685,5178,3150,3361,3552,3831,3579,3794,2497,3025,2471,2420,1512,1150,1778,2720,2797,2883,1489,1698,1312,534,924,888,1148,1129,1102,0.251399729,0.279351021,0.219470509,0.277577974,0.255518561,0.260834209,0.24694985,0.291763234,0.249678933,0.291748875
Abcb6,118,79,80,165,170,269,231,44,54,108,60,447,318,299,467,1226,247,398,288,268,366,288,175,315,261,237,172,0,199,271,313,259,256,0,176,96,134,151,60,60,73,0.165419934,0.190157929,0.153105605,0.183849225,0.164454455,0.17752634,0.171815131,0.179242045,0.161683459,0.180428482
