"GeneName","module_name","kTotal","kWithin","kOut","kDiff","is.hub","ME","MM","Mitocarta","Interactome","in_enriched_module_mitocarta","cor_with_gtex","in_MD_genelist","pathogenic"
"NDUFAF7","midnightblue",36.3262454873061,4.91841891352666,31.4078265737794,-26.4894076602527,FALSE,0.482519210765057,0.0897249506979281,TRUE,TRUE,1,0.16969739000793,TRUE,"1"
"TEAD3","midnightblue",34.3817199677884,1.93186213638866,32.4498578313997,-30.517995695011,FALSE,0.498689069537052,0.400732346331614,FALSE,FALSE,1,0.177764297071494,FALSE,"unlabelled"
"AASS","midnightblue",256.154974806981,28.752286973359,227.402687833622,-198.650400860263,FALSE,0.878346538964825,0.00107553278177369,TRUE,TRUE,1,0.176199202709131,FALSE,"unlabelled"
"HEBP1","midnightblue",145.743796501029,14.8799651880982,130.863831312931,-115.983866124833,FALSE,0.783078197736086,0.00354544648862602,TRUE,FALSE,1,0.186017385388959,FALSE,"unlabelled"
"HGF","midnightblue",137.092900427952,9.47631835005966,127.616582077893,-118.140263727833,FALSE,0.758705433599695,0.00404029059674026,FALSE,FALSE,1,0.180753685353994,FALSE,"unlabelled"
"RUNX3","midnightblue",209.293799348271,13.6380732791826,195.655726069088,-182.017652789905,FALSE,-0.768776021930166,0.00290014637324409,FALSE,FALSE,1,0.169935520178289,FALSE,"unlabelled"
"HSD17B6","midnightblue",62.4318673187677,7.59687601819826,54.8349913005694,-47.2381152823712,FALSE,0.620167346575559,0.0692103342052999,FALSE,FALSE,1,0.173263032645719,FALSE,"unlabelled"
"GABARAPL2","midnightblue",209.458802416357,29.2268188223034,180.231983594054,-151.00516477175,FALSE,0.867700990361029,0.00124123925560289,FALSE,FALSE,1,0.173766260667875,FALSE,"unlabelled"
"TIMP2","midnightblue",232.540981575319,18.6796874071416,213.861294168177,-195.181606761036,FALSE,0.770691831358121,0.0345555814937654,FALSE,FALSE,1,0.187558548374573,FALSE,"unlabelled"
"CDH1","midnightblue",102.106511276238,8.32893863853051,93.7775726377077,-85.4486339991772,FALSE,0.288870939744174,0.436250301494128,FALSE,FALSE,1,0.131587341712462,FALSE,"unlabelled"
"CUL7","midnightblue",133.923613375451,23.1429230722888,110.780690303163,-87.6377672308737,FALSE,0.629681823331493,0.000620639901587303,FALSE,FALSE,1,0.171742459135626,FALSE,"unlabelled"
"MTA3","midnightblue",308.166238797171,32.0045272771538,276.161711520017,-244.157184242863,FALSE,0.817706997956066,0.0477377427023176,FALSE,FALSE,1,0.186867901785843,FALSE,"unlabelled"
"MON2","midnightblue",330.501283429182,28.4977298556994,302.003553573482,-273.505823717783,FALSE,0.817645219151779,0.121339849090119,FALSE,FALSE,1,0.173066724005235,FALSE,"unlabelled"
"CDH3","midnightblue",37.0421885483498,1.62540498267214,35.4167835656777,-33.7913785830055,FALSE,0.106825614721458,0.856335058342862,FALSE,FALSE,1,0.119777146529218,FALSE,"unlabelled"
"APPBP2","midnightblue",290.667754243728,20.7408580224051,269.926896221323,-249.186038198918,FALSE,0.77480150343101,0.0157957411645932,FALSE,FALSE,1,0.18254019250733,FALSE,"unlabelled"
"TNPO3","midnightblue",255.43742917229,36.0025452780224,219.434883894268,-183.432338616245,FALSE,-0.894816717900731,0.00132741229557023,FALSE,FALSE,1,0.190079580504908,FALSE,"unlabelled"
"SUGP2","midnightblue",172.951450295985,27.7281009170745,145.22334937891,-117.495248461836,FALSE,-0.797565272015366,0.109899445697045,FALSE,FALSE,1,0.186507613634261,FALSE,"unlabelled"
"ADAT1","midnightblue",214.090838066166,26.0553603909694,188.035477675197,-161.980117284228,FALSE,-0.817621227914562,0.0469744326907721,FALSE,FALSE,1,0.178263747071182,FALSE,"unlabelled"
"NEO1","midnightblue",174.330195679114,8.90402585006913,165.426169829045,-156.522143978976,FALSE,0.765165508780204,0.000710433529854934,FALSE,FALSE,1,0.167180238475814,FALSE,"unlabelled"
"WIPI1","midnightblue",275.839244267745,20.1409255714061,255.698318696339,-235.557393124933,FALSE,0.81855827789823,0.00678866768066774,FALSE,FALSE,1,0.183111454464753,FALSE,"unlabelled"
"CAMK2A","midnightblue",28.4684059606142,1.4253757466187,27.0430302139955,-25.6176544673768,FALSE,-0.373184429037796,0.177155041682974,FALSE,FALSE,1,0.198185747330423,FALSE,"0"
"DAZAP1","midnightblue",193.201328343341,24.6317097903875,168.569618552954,-143.937908762566,FALSE,-0.831471384074406,0.000224293429096503,FALSE,FALSE,1,0.178625306278266,FALSE,"unlabelled"
"RHOBTB1","midnightblue",95.6532781019474,11.8261308821747,83.8271472197727,-72.0010163375981,FALSE,0.737476556613919,0.0253639065874152,FALSE,FALSE,1,0.180175362399401,FALSE,"unlabelled"
"MGLL","midnightblue",65.5323132227168,7.8533729697981,57.6789402529187,-49.8255672831206,FALSE,-0.587278603902778,0.0344886056890132,FALSE,FALSE,1,0.179763236761421,FALSE,"unlabelled"
"NTN4","midnightblue",230.336863841273,11.8552194349723,218.481644406301,-206.626424971328,FALSE,0.718888662042799,0.0181090525568001,FALSE,FALSE,1,0.163765621275547,FALSE,"unlabelled"
"NUAK1","midnightblue",82.1368040377946,8.16940832782301,73.9673957099716,-65.7979873821486,FALSE,0.679326650308868,0.00784398435625153,FALSE,FALSE,1,0.200707364175219,FALSE,"0"
"DPP8","midnightblue",303.855299473924,23.1529937345482,280.702305739376,-257.549312004828,FALSE,-0.866014297861007,0.00488972574147179,FALSE,FALSE,1,0.193826457698367,FALSE,"0"
"FRYL","midnightblue",87.019353979478,10.3665133488774,76.6528406306006,-66.2863272817232,FALSE,-0.721932805116902,0.177836484814084,FALSE,FALSE,1,0.199974085766118,FALSE,"0"
"PLD1","midnightblue",47.8861354037482,4.40554688064613,43.480588523102,-39.0750416424559,FALSE,0.64738526776345,0.195254169779186,FALSE,FALSE,1,0.20416301844114,FALSE,"0"
"GPATCH1","midnightblue",378.842434639808,22.5096677028472,356.33276693696,-333.823099234113,FALSE,-0.833781976268633,0.00909712380670183,FALSE,FALSE,1,0.174619532780691,FALSE,"unlabelled"
"MCCC1","midnightblue",86.8955189922981,4.82489376754852,82.0706252247496,-77.2457314572011,FALSE,0.653535126418625,0.0456617340982219,TRUE,TRUE,1,0.182729568487897,FALSE,"unlabelled"
"SDF4","midnightblue",377.786681098662,19.9728535485965,357.813827550065,-337.840974001469,FALSE,0.738449603790191,0.0416273312063917,FALSE,FALSE,1,0.176274481222306,FALSE,"unlabelled"
"CARMIL1","midnightblue",116.31844324154,10.6804340517405,105.638009189799,-94.957575138059,FALSE,0.808747595852694,0.00200802649891429,FALSE,FALSE,1,0.191222973768158,FALSE,"unlabelled"
"PCDHA6","midnightblue",24.4552112971595,2.15068825812513,22.3045230390344,-20.1538347809093,FALSE,0.424034511909882,0.0891231114903985,FALSE,FALSE,1,0.182891563892954,FALSE,"unlabelled"
"COBLL1","midnightblue",277.621423088826,8.19475847293746,269.426664615889,-261.231906142951,FALSE,0.6761055375662,0.00234577564897774,FALSE,FALSE,1,0.189119409896186,FALSE,"unlabelled"
