GeneName,X10.CR.RNA,X11.WTS.RNA,X12.EA.RNA,X13.CL.RNA,X14.KD.RNA,X15.SJ.RNA,X16.HZ.RNA,X17.CE.RNA,X18.RL.RNA,X19.DR.RNA,X1.VT.RNA,X20.MCC.RNA,X2.LN.RNA,X3.AS.RNA,X4.TL.RNA,X5.BE.RNA,X6.HA.RNA,X7.HH.RNA,X8.CN.RNA,X9.GC.RNA
DDX11L1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0
WASH7P,34,34,26,15,42,39,27,47,26,30,26,19,36,39,44,28,42,56,79,34
MIR6859-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MIR1302-2HG,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-34P13.7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0
CICP27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
RP11-34P13.15,1,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0
RP11-34P13.13,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1
ABC7-43046700E7.1,0,1,0,0,1,0,0,2,0,0,0,2,2,0,0,0,0,2,0,0
RP11-34P13.18,91,65,93,60,96,81,78,68,145,150,60,147,99,110,63,148,59,56,136,123
AP006222.2,0,4,4,5,6,4,7,27,7,1,8,4,10,1,4,1,6,0,4,6
RPL23AP24,1,1,2,0,3,1,0,2,1,5,0,2,1,2,2,1,2,1,0,2
RP4-669L17.10,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0
RP4-669L17.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-857K21.4,0,0,0,0,2,0,1,2,3,0,0,0,0,0,0,0,0,1,0,0
MTND1P23,33,16,20,14,14,15,13,9,18,15,22,16,12,12,26,30,24,18,16,12
MTND2P28,251,2384,318,639,510,2595,383,928,290,493,554,340,586,526,294,206,466,558,471,511
MTCO1P12,712,799,1134,1125,1088,925,783,1351,728,893,958,867,1006,1294,1055,683,1114,1487,1326,808
MTCO2P12,79,52,65,60,82,94,62,37,103,71,70,67,67,53,55,76,58,65,76,37
MTATP8P1,0,0,0,2,1,0,2,3,1,0,3,0,1,2,0,0,0,3,1,0
MTATP6P1,3261,4402,3932,5696,5609,3955,4991,5257,3843,5459,5112,4735,5652,5373,3938,2923,4810,5488,5179,4442
MTCO3P12,38,31,50,46,73,64,49,57,50,47,43,46,58,46,34,35,58,76,68,31
CICP3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0
RP11-206L10.2,6,30,6,15,9,24,7,54,7,11,12,14,31,24,0,14,21,25,21,20
RNU6-1199P,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RP11-206L10.9,12,20,24,11,11,12,16,2,31,9,9,11,16,11,25,7,11,17,28,17
RP11-206L10.8,5,12,12,9,8,11,6,10,11,9,7,8,6,5,16,4,10,6,10,7
FAM87B,4,9,0,20,26,22,4,21,4,18,65,14,16,22,11,2,16,10,92,8
LINC01128,481,849,754,726,618,579,525,825,641,657,686,787,996,806,563,558,698,650,834,800
LINC00115,23,34,36,29,17,25,13,40,27,9,54,14,45,31,72,42,32,13,77,21
FAM41C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
FAM166AP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RP11-54O7.16,80,1,58,42,26,44,26,3,88,56,21,65,18,21,25,55,49,18,36,42
RP11-54O7.1,164,13,169,52,88,199,86,34,111,120,66,255,71,67,79,69,147,70,124,112
RP11-54O7.3,1289,139,805,383,488,1001,467,156,873,771,671,1086,630,435,590,620,1159,287,797,1028
SAMD11,14158,1956,21064,14962,7992,11133,7568,863,16621,17339,9254,15342,9086,7922,7798,15964,17480,8277,13029,16894
NOC2L,3022,5098,5761,6152,5656,7235,4398,4954,3893,5449,8550,4472,7577,7731,4130,2780,6589,5183,8239,7117
