#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACACB	LEP	9606.ENSP00000341044	9606.ENSP00000312652	0	0	0	0	0.062	0	0	0.420	0.432
ADAMTS14	ADAMTS8	9606.ENSP00000362304	9606.ENSP00000257359	0	0	0	0.748	0	0	0.900	0.603	0.914
ADAMTS14	GALNT12	9606.ENSP00000362304	9606.ENSP00000364150	0	0	0	0	0	0	0	0.484	0.484
ADAMTS14	SEMA5A	9606.ENSP00000362304	9606.ENSP00000371936	0	0	0	0.544	0	0	0.900	0	0.900
ADAMTS8	SEMA5A	9606.ENSP00000257359	9606.ENSP00000371936	0	0	0	0.544	0	0	0.900	0.064	0.901
ADH1B	GSTO1	9606.ENSP00000306606	9606.ENSP00000358727	0	0	0	0	0.057	0	0.650	0.059	0.662
CCT3	RUVBL1	9606.ENSP00000295688	9606.ENSP00000318297	0	0	0	0	0.495	0.133	0	0.075	0.560
CCT3	VARS	9606.ENSP00000295688	9606.ENSP00000364815	0.060	0	0	0	0.269	0.315	0	0.207	0.577
CCT3	GNG2	9606.ENSP00000295688	9606.ENSP00000334448	0	0	0	0	0	0	0.650	0.047	0.652
CFLAR	SRC	9606.ENSP00000312455	9606.ENSP00000362680	0	0	0	0	0	0.063	0	0.390	0.403
CFLAR	SOD2	9606.ENSP00000312455	9606.ENSP00000446252	0	0	0	0	0.289	0	0	0.374	0.536
COL12A1	MXRA5	9606.ENSP00000325146	9606.ENSP00000217939	0	0	0	0	0.364	0.076	0	0.171	0.470
EPHB6	SRC	9606.ENSP00000481994	9606.ENSP00000362680	0	0	0	0.680	0.062	0	0.600	0.241	0.634
FOXO4	NFYC	9606.ENSP00000363377	9606.ENSP00000396620	0	0	0	0	0	0.058	0.600	0.124	0.641
FOXO4	SOD2	9606.ENSP00000363377	9606.ENSP00000446252	0	0	0	0	0	0	0.900	0.478	0.945
GAS2L1	SH3KBP1	9606.ENSP00000481012	9606.ENSP00000380921	0	0	0	0	0	0.669	0	0.067	0.678
GNG2	SRC	9606.ENSP00000334448	9606.ENSP00000362680	0	0	0	0	0	0.056	0.900	0.085	0.906
GOT2	H6PD	9606.ENSP00000245206	9606.ENSP00000473348	0	0	0	0	0.096	0	0	0.384	0.419
GOT2	LEP	9606.ENSP00000245206	9606.ENSP00000312652	0	0	0	0	0	0	0	0.530	0.530
GRIA3	SYNGAP1	9606.ENSP00000481554	9606.ENSP00000403636	0	0	0	0	0.063	0.533	0	0.276	0.655
H6PD	HSD11B2	9606.ENSP00000473348	9606.ENSP00000316786	0	0	0	0	0.062	0	0	0.486	0.497
H6PD	VARS	9606.ENSP00000473348	9606.ENSP00000364815	0.199	0	0	0	0.112	0	0	0.367	0.510
H6PD	SOD2	9606.ENSP00000473348	9606.ENSP00000446252	0.046	0	0	0	0.099	0	0	0.495	0.528
H6PD	NAGK	9606.ENSP00000473348	9606.ENSP00000477639	0.346	0	0	0	0.045	0	0	0.302	0.525
HIST1H3C	RUVBL1	9606.ENSP00000484658	9606.ENSP00000318297	0	0	0	0	0	0.845	0	0.179	0.867
HMG20B	PWWP2B	9606.ENSP00000328269	9606.ENSP00000306324	0	0	0	0	0.065	0	0	0.460	0.473
HMGN3	TARBP2	9606.ENSP00000482613	9606.ENSP00000266987	0	0	0	0	0	0	0	0.461	0.461
HTATIP2	TARBP2	9606.ENSP00000392985	9606.ENSP00000266987	0	0	0	0	0	0	0	0.538	0.538
LAS1L	RUVBL1	9606.ENSP00000363944	9606.ENSP00000318297	0	0	0	0	0.101	0	0.900	0	0.906
LEP	SRC	9606.ENSP00000312652	9606.ENSP00000362680	0	0	0	0	0.062	0	0	0.584	0.594
MCOLN2	TPCN1	9606.ENSP00000359640	9606.ENSP00000448083	0	0	0	0	0	0	0	0.507	0.507
MRPL15	VARS	9606.ENSP00000260102	9606.ENSP00000364815	0	0	0	0	0.207	0.139	0	0.303	0.482
MRPL15	SOD2	9606.ENSP00000260102	9606.ENSP00000446252	0	0	0	0	0.360	0.929	0	0.266	0.963
MRPL15	MRPL46	9606.ENSP00000260102	9606.ENSP00000312311	0	0	0	0	0.842	0.986	0.800	0.186	0.999
MRPL46	SOD2	9606.ENSP00000312311	9606.ENSP00000446252	0	0	0	0	0.519	0.929	0	0.134	0.967
POP4	TARBP2	9606.ENSP00000465213	9606.ENSP00000266987	0	0	0	0	0	0	0.900	0	0.900
PSAP	SRC	9606.ENSP00000378394	9606.ENSP00000362680	0	0	0	0	0.087	0.056	0	0.450	0.485
PSMB2	RUVBL1	9606.ENSP00000362334	9606.ENSP00000318297	0	0	0	0	0.474	0.070	0	0.107	0.525
RECK	SLC1A7	9606.ENSP00000367202	9606.ENSP00000478639	0	0	0	0	0	0	0	0.458	0.457
RPS6KA2	TBC1D7	9606.ENSP00000427015	9606.ENSP00000475727	0	0	0	0	0	0	0.600	0.372	0.738
SH3KBP1	SRC	9606.ENSP00000380921	9606.ENSP00000362680	0	0	0	0	0	0.494	0	0.792	0.891
SOD2	XDH	9606.ENSP00000446252	9606.ENSP00000368727	0	0	0	0	0	0	0	0.412	0.412
SRC	TNS3	9606.ENSP00000362680	9606.ENSP00000312143	0	0	0	0	0.081	0.323	0	0.335	0.550
