#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABAT	VCL	9606.ENSP00000379845	9606.ENSP00000211998	0	0	0	0	0	0	0	0.420	0.420
ABAT	ACOX1	9606.ENSP00000379845	9606.ENSP00000293217	0.041	0	0	0	0.065	0	0.800	0.076	0.812
ABAT	ALDH16A1	9606.ENSP00000379845	9606.ENSP00000293350	0.053	0	0	0	0.110	0.308	0	0.163	0.446
ABAT	NME1	9606.ENSP00000379845	9606.ENSP00000337060	0	0	0	0	0	0.583	0	0.116	0.615
ABCB1	LRP1	9606.ENSP00000478255	9606.ENSP00000243077	0	0	0	0	0	0	0	0.420	0.420
ABCB1	SLC19A1	9606.ENSP00000478255	9606.ENSP00000308895	0	0	0	0	0	0	0	0.566	0.566
ABCB1	MAPK8	9606.ENSP00000478255	9606.ENSP00000378974	0	0	0	0	0	0	0.900	0.214	0.918
ACOX1	SLC27A4	9606.ENSP00000293217	9606.ENSP00000300456	0	0	0	0	0.062	0	0	0.467	0.478
ACYP2	RTEL1	9606.ENSP00000378161	9606.ENSP00000353332	0	0	0	0	0	0	0	0.681	0.681
ADAT2	TRMT6	9606.ENSP00000237283	9606.ENSP00000203001	0	0	0	0	0.083	0	0	0.781	0.791
ADAT2	WDR4	9606.ENSP00000237283	9606.ENSP00000381266	0	0	0	0	0.108	0	0	0.786	0.801
ADRB1	GNAI3	9606.ENSP00000358301	9606.ENSP00000358867	0	0	0	0	0	0.151	0.800	0.188	0.850
AKAP7	GRAMD4	9606.ENSP00000405252	9606.ENSP00000385689	0	0	0	0	0	0	0	0.548	0.548
ALDH16A1	PRR19	9606.ENSP00000293350	9606.ENSP00000445247	0	0	0	0	0	0	0	0.426	0.426
ALDH16A1	WDR4	9606.ENSP00000293350	9606.ENSP00000381266	0	0	0	0	0.062	0	0	0.413	0.426
ALYREF	SNRPD3	9606.ENSP00000421592	9606.ENSP00000215829	0	0	0	0	0.711	0.344	0	0.240	0.843
ALYREF	WDR77	9606.ENSP00000421592	9606.ENSP00000235090	0	0	0	0	0.138	0.282	0	0.150	0.429
ALYREF	XPO5	9606.ENSP00000421592	9606.ENSP00000265351	0	0	0	0	0.125	0.056	0	0.421	0.480
ALYREF	SNRPD1	9606.ENSP00000421592	9606.ENSP00000300413	0	0	0	0	0.649	0.171	0	0.173	0.739
ALYREF	NSUN5	9606.ENSP00000421592	9606.ENSP00000309126	0	0	0	0	0.062	0.067	0	0.429	0.457
ALYREF	RBM14	9606.ENSP00000421592	9606.ENSP00000311747	0	0	0	0	0.935	0	0	0.081	0.938
ALYREF	KHDRBS1	9606.ENSP00000421592	9606.ENSP00000313829	0	0	0	0	0.561	0.078	0	0.310	0.696
ALYREF	CHTOP	9606.ENSP00000421592	9606.ENSP00000357679	0	0	0	0	0.700	0.287	0.900	0.630	0.991
ALYREF	CDC5L	9606.ENSP00000421592	9606.ENSP00000360532	0	0	0	0	0.109	0.337	0	0.302	0.552
ALYREF	EXOSC2	9606.ENSP00000421592	9606.ENSP00000361433	0	0	0	0	0.511	0	0	0.101	0.541
ALYREF	SET	9606.ENSP00000421592	9606.ENSP00000361777	0	0	0	0	0.427	0	0	0	0.427
ALYREF	SRSF3	9606.ENSP00000421592	9606.ENSP00000362820	0	0	0	0	0.921	0	0.800	0.585	0.992
ALYREF	SLBP	9606.ENSP00000421592	9606.ENSP00000417686	0	0	0	0	0.105	0	0.800	0.445	0.892
ALYREF	NUP62	9606.ENSP00000421592	9606.ENSP00000471191	0	0	0	0	0.092	0	0.600	0.259	0.707
ALYREF	SNRNP70	9606.ENSP00000421592	9606.ENSP00000472998	0	0	0	0	0.734	0.284	0	0.338	0.863
ANKRD32	ATAD5	9606.ENSP00000265140	9606.ENSP00000313171	0	0	0	0	0.219	0.102	0	0.257	0.433
ANKRD32	RFC1	9606.ENSP00000265140	9606.ENSP00000371321	0	0	0	0	0.130	0.102	0	0.387	0.480
