#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCG1	SCARB1	9606.ENSP00000354995	9606.ENSP00000261693	0	0	0	0	0.062	0	0	0.875	0.878
ABCG1	LPL	9606.ENSP00000354995	9606.ENSP00000309757	0	0	0	0	0	0	0	0.562	0.562
ABCG1	MATK	9606.ENSP00000354995	9606.ENSP00000378485	0	0	0	0	0.062	0.057	0	0.649	0.663
ABLIM1	TMCO4	9606.ENSP00000277895	9606.ENSP00000294543	0	0	0	0	0	0	0	0.499	0.499
ACO2	CHCHD7	9606.ENSP00000216254	9606.ENSP00000306425	0	0	0	0	0	0	0	0.402	0.402
ACO2	GLRX	9606.ENSP00000216254	9606.ENSP00000369314	0.111	0	0	0	0.062	0.057	0	0.347	0.418
ACO2	ALDH1A2	9606.ENSP00000216254	9606.ENSP00000249750	0.044	0	0	0	0.063	0.562	0	0.189	0.639
ACO2	IBA57	9606.ENSP00000216254	9606.ENSP00000355672	0	0	0	0	0	0	0	0.662	0.662
ACO2	ALDH1A1	9606.ENSP00000216254	9606.ENSP00000297785	0.044	0	0	0	0.063	0.562	0	0.521	0.787
ACOT1	SCD5	9606.ENSP00000311224	9606.ENSP00000316329	0	0	0	0	0.062	0	0.900	0.289	0.927
ACTN4	SPEG	9606.ENSP00000252699	9606.ENSP00000311684	0	0	0	0	0.183	0.176	0	0.216	0.426
ACTN4	LY75	9606.ENSP00000252699	9606.ENSP00000263636	0	0	0	0	0	0	0	0.439	0.439
ACTN4	WDR1	9606.ENSP00000252699	9606.ENSP00000427687	0	0	0	0	0.136	0.062	0	0.367	0.443
ACTN4	HDAC9	9606.ENSP00000252699	9606.ENSP00000408617	0	0	0	0	0	0	0	0.459	0.459
ACTN4	GRID1	9606.ENSP00000252699	9606.ENSP00000330148	0	0	0	0	0	0.077	0	0.441	0.462
ACTN4	TLN2	9606.ENSP00000252699	9606.ENSP00000453508	0	0	0	0	0.063	0.182	0	0.401	0.501
ACTN4	SULF1	9606.ENSP00000252699	9606.ENSP00000260128	0	0	0	0	0	0	0	0.539	0.539
ACTN4	CAPN1	9606.ENSP00000252699	9606.ENSP00000431984	0	0	0	0	0.096	0	0.900	0.213	0.922
ACTN4	TLN1	9606.ENSP00000252699	9606.ENSP00000316029	0	0	0	0	0.160	0.182	0.900	0.572	0.966
ADAMTS17	ADAMTS6	9606.ENSP00000268070	9606.ENSP00000370443	0	0	0	0.809	0	0	0.900	0.770	0.914
ADAMTS17	ADAMTS4	9606.ENSP00000268070	9606.ENSP00000356975	0	0	0	0.740	0	0	0.900	0.632	0.916
ADAMTS17	ADAMTS9	9606.ENSP00000268070	9606.ENSP00000418735	0	0	0	0.737	0.056	0	0.900	0.676	0.918
