#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADNP2	HOMEZ	9606.ENSP00000262198	9606.ENSP00000350049	0	0	0	0	0	0	0	0.498	0.498
ADRA2B	PRKCD	9606.ENSP00000480573	9606.ENSP00000378217	0	0	0	0	0	0	0.650	0.155	0.691
ADRA2B	GGA3	9606.ENSP00000480573	9606.ENSP00000438085	0	0	0	0	0	0.270	0	0.325	0.486
AKAP12	DUSP5	9606.ENSP00000384537	9606.ENSP00000358596	0	0	0	0	0	0	0	0.462	0.462
ALKBH4	DOT1L	9606.ENSP00000292566	9606.ENSP00000381657	0	0	0	0	0	0	0	0.447	0.447
AMD1	MED18	9606.ENSP00000357880	9606.ENSP00000362948	0	0	0	0	0	0	0	0.448	0.448
AMMECR1L	ZNF346	9606.ENSP00000272647	9606.ENSP00000350869	0	0	0	0	0	0	0	0.528	0.528
AMMECR1L	ZKSCAN5	9606.ENSP00000272647	9606.ENSP00000377725	0	0	0	0	0	0	0	0.608	0.608
ANXA5	PPIF	9606.ENSP00000296511	9606.ENSP00000225174	0	0	0	0	0	0	0	0.416	0.416
ANXA5	SNAI1	9606.ENSP00000296511	9606.ENSP00000244050	0	0	0	0	0	0	0	0.502	0.502
ANXA5	CDH2	9606.ENSP00000296511	9606.ENSP00000269141	0	0	0	0	0	0.061	0	0.556	0.565
ANXA5	DDIT3	9606.ENSP00000296511	9606.ENSP00000448665	0	0	0	0	0	0	0	0.592	0.592
ANXA5	PRKCD	9606.ENSP00000296511	9606.ENSP00000378217	0	0	0	0	0.062	0.067	0	0.695	0.710
ARC	FOSB	9606.ENSP00000349022	9606.ENSP00000245919	0	0	0	0	0.064	0	0.900	0.276	0.926
ARC	SRF	9606.ENSP00000349022	9606.ENSP00000265354	0	0	0	0	0.062	0	0.900	0.288	0.927
ARC	JUNB	9606.ENSP00000349022	9606.ENSP00000303315	0	0	0	0	0.064	0	0.900	0.103	0.908
ARC	FOSL1	9606.ENSP00000349022	9606.ENSP00000310170	0	0	0	0	0	0	0.900	0.075	0.903
ARC	EGR3	9606.ENSP00000349022	9606.ENSP00000318057	0	0	0	0	0.096	0	0.900	0.268	0.928
ARC	NR4A1	9606.ENSP00000349022	9606.ENSP00000440864	0	0	0	0	0.205	0	0	0.301	0.421
ARMC7	IFFO2	9606.ENSP00000245543	9606.ENSP00000387941	0	0	0	0	0	0	0	0.481	0.481
ASB13	PPP6C	9606.ENSP00000350331	9606.ENSP00000392147	0	0	0	0	0.062	0.141	0	0.393	0.468
ATXN7	PRICKLE3	9606.ENSP00000439585	9606.ENSP00000470248	0	0	0	0	0	0	0	0.442	0.442
BCL3	ZC3H12A	9606.ENSP00000164227	9606.ENSP00000362179	0	0	0	0	0.347	0	0	0.184	0.444
BHLHE40	HES1	9606.ENSP00000256495	9606.ENSP00000232424	0	0	0	0.606	0	0	0.900	0.143	0.904
BHLHE40	KLF10	9606.ENSP00000256495	9606.ENSP00000285407	0	0	0	0	0.118	0.059	0	0.402	0.460
BHLHE40	CEBPB	9606.ENSP00000256495	9606.ENSP00000305422	0	0	0	0	0.118	0.182	0	0.407	0.535
BHLHE40	PER1	9606.ENSP00000256495	9606.ENSP00000314420	0	0	0	0	0.075	0.160	0	0.505	0.582
BHLHE40	FANCF	9606.ENSP00000256495	9606.ENSP00000330875	0	0	0	0	0	0	0.900	0	0.900
BRAF	PAPD7	9606.ENSP00000288602	9606.ENSP00000230859	0	0	0	0	0	0	0.600	0	0.600
BRAF	TUSC2	9606.ENSP00000288602	9606.ENSP00000232496	0	0	0	0	0	0	0	0.440	0.440
BRAF	SPRY1	9606.ENSP00000288602	9606.ENSP00000481675	0	0	0	0	0	0.075	0	0.439	0.459
BRAF	PRKCD	9606.ENSP00000288602	9606.ENSP00000378217	0	0	0	0.566	0.066	0.117	0.600	0.097	0.650
BRAF	SPRY2	9606.ENSP00000288602	9606.ENSP00000366306	0	0	0	0	0	0.344	0.800	0.336	0.905
BRAF	MAP2K3	9606.ENSP00000288602	9606.ENSP00000345083	0	0	0	0.586	0.062	0.190	0.900	0.151	0.921
C16orf72	TMEM186	9606.ENSP00000331720	9606.ENSP00000331640	0	0	0	0	0	0	0	0.662	0.662
C19orf26	TUSC2	9606.ENSP00000465260	9606.ENSP00000232496	0	0	0	0	0	0	0	0.407	0.407
C19orf26	MIDN	9606.ENSP00000465260	9606.ENSP00000300952	0	0	0	0	0	0	0	0.602	0.602
CACNA1C	PPP3CC	9606.ENSP00000266376	9606.ENSP00000380878	0	0	0	0	0.068	0.144	0.800	0.152	0.846
CCDC71	ZNF19	9606.ENSP00000319006	9606.ENSP00000288177	0	0	0	0	0	0	0	0.504	0.504
CCDC71	PWWP2A	9606.ENSP00000319006	9606.ENSP00000305151	0	0	0	0	0	0	0	0.406	0.406
CDH2	SNAI1	9606.ENSP00000269141	9606.ENSP00000244050	0	0	0	0	0	0	0	0.882	0.882
