#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADM	PTHLH	9606.ENSP00000436607	9606.ENSP00000441765	0	0	0	0	0	0	0.500	0.269	0.618
AKAP5	SLC9A3R1	9606.ENSP00000378207	9606.ENSP00000262613	0	0	0	0	0	0	0	0.411	0.411
AKAP5	CBFA2T2	9606.ENSP00000378207	9606.ENSP00000262653	0	0	0	0	0	0	0	0.646	0.646
AKAP5	CAMK2G	9606.ENSP00000378207	9606.ENSP00000319060	0	0	0	0	0	0	0.900	0.056	0.901
ARHGAP5	ROCK2	9606.ENSP00000371897	9606.ENSP00000317985	0	0	0	0	0.143	0.078	0	0.303	0.402
ATP9A	PKIG	9606.ENSP00000342481	9606.ENSP00000361980	0	0	0	0	0	0	0	0.590	0.590
BMS1	TTC27	9606.ENSP00000363642	9606.ENSP00000313953	0	0	0	0	0.666	0	0	0	0.666
BMS1	NOC2L	9606.ENSP00000363642	9606.ENSP00000317992	0	0	0	0	0.883	0	0.540	0.189	0.952
BMS1	IPO4	9606.ENSP00000363642	9606.ENSP00000346453	0	0	0	0	0.753	0	0	0.138	0.778
BMS1	TRMT112	9606.ENSP00000363642	9606.ENSP00000438349	0	0	0	0	0.103	0	0	0.616	0.640
C11orf73	DNAJB5	9606.ENSP00000278483	9606.ENSP00000404079	0	0	0	0	0.436	0.077	0	0	0.457
C19orf52	COA4	9606.ENSP00000270502	9606.ENSP00000347919	0	0	0	0	0	0	0	0.467	0.467
C19orf52	IMMT	9606.ENSP00000270502	9606.ENSP00000387262	0	0	0	0	0.062	0.117	0	0.479	0.531
C19orf52	TRMT112	9606.ENSP00000270502	9606.ENSP00000438349	0	0	0	0	0.062	0	0	0.524	0.534
CBFA2T2	PLXNA3	9606.ENSP00000262653	9606.ENSP00000358696	0	0	0	0	0	0.219	0	0.486	0.581
CDK5RAP1	MRPS9	9606.ENSP00000217372	9606.ENSP00000258455	0.168	0	0	0	0.146	0	0	0.292	0.453
CDK5RAP1	CTU2	9606.ENSP00000217372	9606.ENSP00000388320	0	0	0	0	0	0	0	0.478	0.478
CERKL	PRPF3	9606.ENSP00000341159	9606.ENSP00000315379	0	0	0	0	0	0	0	0.664	0.664
CHCHD2	COX5A	9606.ENSP00000378812	9606.ENSP00000317780	0	0	0	0	0.719	0.295	0	0.241	0.836
CHCHD2	COA4	9606.ENSP00000378812	9606.ENSP00000347919	0	0	0	0	0	0	0.900	0	0.900
CHCHD2	NDUFAB1	9606.ENSP00000378812	9606.ENSP00000458770	0	0	0	0	0.377	0.281	0	0.106	0.564
COX5A	NDUFAF1	9606.ENSP00000317780	9606.ENSP00000260361	0	0	0	0	0.134	0	0	0.397	0.456
COX5A	IMMT	9606.ENSP00000317780	9606.ENSP00000387262	0	0	0	0	0.202	0.132	0	0.287	0.463
COX5A	SUCLG1	9606.ENSP00000317780	9606.ENSP00000377446	0	0	0	0	0.681	0.243	0	0.275	0.810
COX5A	NDUFA6	9606.ENSP00000317780	9606.ENSP00000418842	0	0	0	0	0.918	0.822	0	0.594	0.993
COX5A	NDUFV2	9606.ENSP00000317780	9606.ENSP00000327268	0	0	0	0	0.836	0.960	0	0.514	0.996
COX5A	NDUFAB1	9606.ENSP00000317780	9606.ENSP00000458770	0	0	0	0	0.960	0.955	0	0.489	0.999
CTU2	TRMT112	9606.ENSP00000388320	9606.ENSP00000438349	0	0	0	0	0.102	0	0.900	0.826	0.983
DHPS	FARSA	9606.ENSP00000210060	9606.ENSP00000320309	0	0	0.216	0	0.271	0	0	0.513	0.697
DNHD1	SPCS1	9606.ENSP00000254579	9606.ENSP00000478310	0	0	0	0	0.048	0	0	0.482	0.486
DNHD1	DYNLL2	9606.ENSP00000254579	9606.ENSP00000477310	0	0	0	0	0	0.262	0	0.415	0.550
EBPL	SPRYD7	9606.ENSP00000242827	9606.ENSP00000354774	0	0	0	0	0	0	0	0.602	0.602
EEA1	VPS29	9606.ENSP00000317955	9606.ENSP00000480853	0	0	0	0	0.049	0	0	0.624	0.627
EIF2B2	PSMA1	9606.ENSP00000266126	9606.ENSP00000414359	0	0	0	0	0.357	0.153	0	0.122	0.480
ENY2	PSMA2	9606.ENSP00000429986	9606.ENSP00000223321	0	0	0	0	0.901	0	0	0	0.901
ENY2	SNRPC	9606.ENSP00000429986	9606.ENSP00000244520	0	0	0	0	0.771	0	0	0.207	0.810
ENY2	SARNP	9606.ENSP00000429986	9606.ENSP00000337632	0	0	0	0	0.219	0	0	0.408	0.518
ENY2	MRPS33	9606.ENSP00000429986	9606.ENSP00000376732	0	0	0	0	0.419	0	0	0	0.419
ENY2	NOL7	9606.ENSP00000429986	9606.ENSP00000405674	0	0	0	0	0.834	0	0	0.118	0.847
ENY2	RPL26L1	9606.ENSP00000429986	9606.ENSP00000428223	0	0	0	0	0.509	0	0	0	0.509
FARSA	MRPS9	9606.ENSP00000320309	9606.ENSP00000258455	0.073	0	0	0	0.206	0	0	0.252	0.402
FH	TATDN1	9606.ENSP00000355518	9606.ENSP00000276692	0	0	0	0	0.093	0.485	0	0	0.513
FH	NDUFV2	9606.ENSP00000355518	9606.ENSP00000327268	0	0	0	0	0.396	0	0	0.488	0.677
FH	IMMT	9606.ENSP00000355518	9606.ENSP00000387262	0	0	0	0	0.559	0	0	0.180	0.623
FH	NDUFAB1	9606.ENSP00000355518	9606.ENSP00000458770	0	0	0	0	0.695	0	0	0.284	0.772
FH	SUCLG1	9606.ENSP00000355518	9606.ENSP00000377446	0.111	0	0	0	0.791	0.130	0.360	0.721	0.966
GATB	GTF2H4	9606.ENSP00000263985	9606.ENSP00000259895	0	0	0	0	0.086	0	0	0.423	0.450
GATB	MRPL9	9606.ENSP00000263985	9606.ENSP00000357823	0.273	0	0	0	0.215	0	0	0.101	0.442
GTF2H4	PIAS1	9606.ENSP00000259895	9606.ENSP00000249636	0	0	0	0	0	0	0.900	0	0.900
HIRA	UFD1L	9606.ENSP00000263208	9606.ENSP00000263202	0	0	0	0	0.064	0	0	0.697	0.704
HIRA	PSMD3	9606.ENSP00000263208	9606.ENSP00000264639	0	0	0	0	0.524	0	0	0	0.524
HMOX2	SUCLG1	9606.ENSP00000477572	9606.ENSP00000377446	0	0	0	0	0.042	0	0	0.414	0.414
IER3IP1	SLC35B1	9606.ENSP00000256433	9606.ENSP00000240333	0	0	0	0	0.062	0	0	0.528	0.538
IMMT	SUCLG1	9606.ENSP00000387262	9606.ENSP00000377446	0	0	0	0	0.285	0.132	0	0.291	0.521
