#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A2M	MMP11	9606.ENSP00000323929	9606.ENSP00000215743	0	0	0	0	0	0	0.600	0.189	0.662
A2M	TIMP2	9606.ENSP00000323929	9606.ENSP00000262768	0	0	0	0	0.088	0	0	0.427	0.455
A2M	HSP90B1	9606.ENSP00000323929	9606.ENSP00000299767	0	0	0	0	0.062	0	0	0.434	0.446
A2M	ADAMTS7	9606.ENSP00000323929	9606.ENSP00000373472	0	0	0	0	0.063	0.270	0	0.455	0.594
A2M	FN1	9606.ENSP00000323929	9606.ENSP00000346839	0	0	0	0	0.112	0.058	0	0.566	0.605
AASS	CCBL2	9606.ENSP00000377040	9606.ENSP00000260508	0.069	0	0	0	0.065	0	0	0.398	0.430
AASS	NUAK1	9606.ENSP00000377040	9606.ENSP00000261402	0	0	0	0	0.062	0	0	0.599	0.608
ABHD11	MGLL	9606.ENSP00000222800	9606.ENSP00000265052	0.072	0	0	0	0	0	0	0.524	0.539
ABHD11	ABHD16A	9606.ENSP00000222800	9606.ENSP00000379282	0	0	0	0	0	0	0	0.561	0.561
ABHD11	ABHD4	9606.ENSP00000222800	9606.ENSP00000414558	0	0	0	0	0	0	0	0.638	0.638
ABHD16A	ABHD4	9606.ENSP00000379282	9606.ENSP00000414558	0	0	0	0	0	0	0	0.587	0.587
ABHD4	SCPEP1	9606.ENSP00000414558	9606.ENSP00000262288	0	0	0	0	0.065	0	0	0.396	0.411
ABHD4	MGLL	9606.ENSP00000414558	9606.ENSP00000265052	0.072	0	0	0	0.062	0	0	0.776	0.788
ACOX2	CAT	9606.ENSP00000307697	9606.ENSP00000241052	0.069	0	0	0	0.112	0.631	0.900	0.477	0.981
ACOX2	HIBADH	9606.ENSP00000307697	9606.ENSP00000265395	0.053	0	0	0	0.066	0.139	0	0.541	0.603
ADAMTS7	MMP24	9606.ENSP00000373472	9606.ENSP00000246186	0	0	0	0	0	0.066	0	0.396	0.412
ADAMTS7	THBS1	9606.ENSP00000373472	9606.ENSP00000260356	0	0	0	0.542	0.077	0.123	0.900	0.587	0.935
